STT	Câu tiếng Nhật	Câu tiếng Nhật và phiên âm	Câu tiếng Việt	Unit	Giáo trình
1	キツネさんはネコさんにお団子を買ってあげました。	キツネさんはネコさんにお団子（だんご）を買ってあげました。	Anh Kitsune đã mua bánh dango cho anh Neko.	8	Dekiru Nihongo Sơ Trung Cấp
2	イヌさんはネコさんに肉じゃがを作ってもらいました。	イヌさんはネコさんに肉じゃがを作ってもらいました。	Anh Inu đã được anh Neko nấu thịt kho khoai tây cho ăn.	8	Dekiru Nihongo Sơ Trung Cấp
3	キツネさんはイヌさんをきれいな湖へ連れて行ってあげました。	キツネさんはイヌさんをきれいな湖（みずうみ）へ連れて行ってあげました。	Anh Kitsune đã dẫn anh Inu đến một cái hồ rất đẹp.	8	Dekiru Nihongo Sơ Trung Cấp
4	運転手さんは私に道を教えてくれました。	運転手さんは私に道を教えてくれました。	Anh lái xe đã chỉ đường giúp tôi.	8	Dekiru Nihongo Sơ Trung Cấp
5	駅員さんはイヌさんに切符の買い方を教えてくれました。	駅員さんはイヌさんに切符の買い方を教えてくれました。	Anh nhân viên nhà ga đã chỉ cho anh Inu cách mua vé.	8	Dekiru Nihongo Sơ Trung Cấp
6	お巡りさんはキツネさんに道を教えてくれました。	お巡り（まわり）さんはキツネさんに道を教えてくれました。	Anh cảnh sát đã chỉ đường cho anh Kitsune.	8	Dekiru Nihongo Sơ Trung Cấp
7	イヌさんはネコさんにプレゼントをあげました。	イヌさんはネコさんにプレゼントをあげました。	Anh Inu đã tặng quà cho anh Neko.	8	Dekiru Nihongo Sơ Trung Cấp
8	駅員さんは私にカバンを届けてくれました。	駅員さんは私にカバンを届け（とどけ）てくれました。	Anh nhân viên nhà ga đã gửi lại túi xách cho tôi.	8	Dekiru Nihongo Sơ Trung Cấp
9	ネコさんはイヌさんを駅まで送ってあげました。	ネコさんはイヌさんを駅まで送ってあげました。	Anh Neko đã tiễn anh Inu ra tận ga.	8	Dekiru Nihongo Sơ Trung Cấp
10	キツネさんはイヌさんを車でうちまで送ってあげました。	キツネさんはイヌさんを車でうちまで送ってあげました。	Anh Kitsune đã chở anh Inu về tận nhà.	8	Dekiru Nihongo Sơ Trung Cấp
11	イヌさんはネコさんに自転車を直してもらいました。	イヌさんはネコさんに自転車を直（なお）してもらいました。	Anh Inu đã được anh Neko sửa giúp chiếc xe đạp.	8	Dekiru Nihongo Sơ Trung Cấp
12	キツネさんはおばあさんに席を譲ってあげました。	キツネさんはおばあさんに席を譲（ゆず）ってあげました。	Anh Kitsune đã nhường ghế cho bà cụ.	8	Dekiru Nihongo Sơ Trung Cấp
13	イヌさんはネコさんを病院へ連れて行ってあげました。	イヌさんはネコさんを病院へ連れて行ってあげました。	Anh Inu đã dẫn anh Neko đi bệnh viện.	8	Dekiru Nihongo Sơ Trung Cấp
14	キツネさんはネコさんが落とした財布を拾ってあげました。	キツネさんはネコさんが落とした財布（さいふ）を拾（ひろ）ってあげました。	Anh Kitsune đã nhặt giúp anh Neko chiếc ví bị rơi.	8	Dekiru Nihongo Sơ Trung Cấp
15	ネコさんはイヌさんに荷物を届けてあげました。	ネコさんはイヌさんに荷物を届け（とどけ）てあげました。	Anh Neko đã mang hành lý đến cho anh Inu.	8	Dekiru Nihongo Sơ Trung Cấp
16	イヌさんは駅まで私を迎えに来てくれました。	イヌさんは駅まで私を迎え（むかえ）に来てくれました。	Anh Inu đã đến ga đón tôi.	8	Dekiru Nihongo Sơ Trung Cấp
17	キツネさんはネコさんに魚を捕ってあげました。	キツネさんはネコさんに魚を捕（と）ってあげました。	Anh Kitsune đã bắt cá giúp anh Neko.	8	Dekiru Nihongo Sơ Trung Cấp
18	そんなにたくさんのお菓子をいただいてもいいんですか。	そんなにたくさんのお菓子（かし）をいただいてもいいんですか。	Tôi nhận nhiều bánh kẹo thế này có được không ạ?	8	Dekiru Nihongo Sơ Trung Cấp
19	ネコさんはキツネさんの世話をしてあげました。	ネコさんはキツネさんの世話（せわ）をしてあげました。	Anh Neko đã chăm sóc cho anh Kitsune.	8	Dekiru Nihongo Sơ Trung Cấp
20	イヌさんはキツネさんにきれいな花瓶をいただきました。	イヌさんはキツネさんにきれいな花瓶（かびん）をいただきました。	Anh Inu đã nhận được một chiếc bình hoa đẹp từ anh Kitsune.	8	Dekiru Nihongo Sơ Trung Cấp
21	イヌさんは私にお茶碗をくれました。	イヌさんは私にお茶碗（ちゃわん）をくれました。	Anh Inu đã tặng cho tôi một cái bát.	8	Dekiru Nihongo Sơ Trung Cấp
22	キツネさんはイヌさんに机を貸してあげました。	キツネさんはイヌさんに机（つくえ）を貸してあげました。	Anh Kitsune đã cho anh Inu mượn cái bàn.	8	Dekiru Nihongo Sơ Trung Cấp
