STT	Câu tiếng Nhật	Câu tiếng Nhật và phiên âm	Câu tiếng Việt	Unit	Giáo trình
1	ごみを朝９時までに店の裏に出せばいいよ。	ごみを朝９時までに店の裏（うら）に出せばいいよ。	Rác thì nên đem ra phía sau cửa hàng trước 9 giờ.	9	Dekiru Nihongo Sơ Trung Cấp
2	いつもきれいにするために、店の表をちゃんと掃除するようにしてください。	いつもきれいにするために、店の表（おもて）をちゃんと掃除（そうじ）するようにしてください。	Để luôn giữ sạch sẽ, hãy chú ý dọn dẹp thật kỹ phía trước cửa hàng.	9	Dekiru Nihongo Sơ Trung Cấp
3	メモが必要なら、この紙を使ってください。	メモが必要なら、この紙を使ってください。	Nếu cần ghi chú thì hãy dùng tờ giấy này nhé.	9	Dekiru Nihongo Sơ Trung Cấp
4	来月から、ネコさんは夜のシフトに入ることになりました。	来月から、ネコさんは夜のシフトに入ることになりました。	Từ tháng sau, anh Neko đã được quyết định là sẽ vào ca đêm.	9	Dekiru Nihongo Sơ Trung Cấp
5	スタッフは仕事中にスマホを使わないことになっています。	スタッフは仕事中にスマホを使わないことになっています。	Theo quy định thì nhân viên không được dùng điện thoại trong giờ làm việc.	9	Dekiru Nihongo Sơ Trung Cấp
6	私たちは本当に友達であれば、握手しましょう。	私たちは本当に友達であれば、握手（あくしゅ）しましょう。	Nếu chúng ta thật sự là bạn thì hãy bắt tay thôi.	9	Dekiru Nihongo Sơ Trung Cấp
7	店に着いたら、すぐタイムカードを押すようにしてください。	店に着いたら、すぐタイムカードを押すようにしてください。	Sau khi đến cửa hàng, hãy chú ý bấm thẻ chấm công ngay nhé.	9	Dekiru Nihongo Sơ Trung Cấp
8	キツネさんはホールで少々お待ちください。	キツネさんはホールで少々お待ちください。	Anh Kitsune vui lòng đợi một chút ở sảnh ạ.	9	Dekiru Nihongo Sơ Trung Cấp
9	料理に髪の毛が入らないように、帽子をかぶります。	料理に髪（かみ）の毛が入らないように、帽子（ぼうし）をかぶります。	Tôi đội mũ để tóc không rơi vào thức ăn.	9	Dekiru Nihongo Sơ Trung Cấp
10	仕事では白いスニーカーを履くことになっています。	仕事では白いスニーカーを履（は）くことになっています。	Quy định là phải mang giày thể thao màu trắng khi làm việc.	9	Dekiru Nihongo Sơ Trung Cấp
11	この荷物は邪魔にならないように、部屋の隅に置いておいてください。	この荷物は邪魔（じゃま）にならないように、部屋の隅（すみ）に置いておいてください。	Hãy cứ để hành lý này ở góc phòng để không gây cản trở nhé.	9	Dekiru Nihongo Sơ Trung Cấp
12	調理場はいつも清潔にするようにしてください。	調理場はいつも清潔（せいけつ）にするようにしてください。	Hãy luôn chú ý giữ gìn vệ sinh khu vực nhà bếp.	9	Dekiru Nihongo Sơ Trung Cấp
