STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	（お）名前	おなまえ	Tên	お名前は？\nTên của bạn là gì?	2	Nhà của Cáo N5
2	すみません	すみません	Xin lỗi	すみません。お名前は？\nXin lỗi, tên của bạn là gì?	2	Nhà của Cáo N5
3	～さん	～さん	Anh ~ / Chị ~	キツネさんは日本人ですか。\nAnh Kitsune là người Nhật phải không?	2	Nhà của Cáo N5
4	はい	はい	Vâng	はい、日本人です。\nVâng, tôi là người Nhật.	2	Nhà của Cáo N5
5	いいえ	いいえ	Không	いいえ、日本人じゃありません。\nKhông, tôi không phải người Nhật.	2	Nhà của Cáo N5
6	（お）仕事	おしごと	Nghề nghiệp	イヌさん、お仕事は？\nAnh Inu này, anh làm nghề gì thế?	2	Nhà của Cáo N5
7	（お）国	おくに	Đất nước	お国は？\nĐất nước của bạn là nước nào?	2	Nhà của Cáo N5
8	デザイナー	デザイナー	Designer	ネコさんはデザイナーですか。\nAnh Neko là designer phải không?	2	Nhà của Cáo N5
9	経営者	けいえいしゃ	Doanh nhân/Chủ doanh nghiệp	キツネさんは経営者です。\nAnh Kitsune là doanh nhân.	2	Nhà của Cáo N5
10	会社員	かいしゃいん	Nhân viên công ty	私は会社員です。\nTôi là nhân viên công ty.	2	Nhà của Cáo N5
11	銀行員	ぎんこういん	Nhân viên ngân hàng	キツネさんは銀行員ですか。\nAnh Kitsune là nhân viên ngân hàng phải không?	2	Nhà của Cáo N5
12	医者	いしゃ	Bác sĩ (khi nói đến nghề của bản thân)	私は医者じゃありません。\nTôi không phải là bác sĩ.	2	Nhà của Cáo N5
13	お医者さん	おいしゃさん	Bác sĩ (khi nói đến nghề của người khác)	お医者さんはベトナム人ですか。\nVị bác sĩ đó là người Việt Nam phải không?	2	Nhà của Cáo N5
14	看護師	かんごし	Y tá/Điều dưỡng (khi nói đến nghề của bản thân)	私は看護師です。\nTôi là y tá.	2	Nhà của Cáo N5
15	看護師さん	かんごしさん	Y tá/Điều dưỡng (khi nói đến nghề của người khác)	看護師さんは中国人じゃありません。\nCô y tá không phải là người Trung Quốc.	2	Nhà của Cáo N5
16	介護士	かいごし	Hộ lý (khi nói đến nghề của bản thân)	私は介護士です。\nTôi là một hộ lý.	2	Nhà của Cáo N5
17	介護士さん	かいごしさん	Hộ lý (khi nói đến nghề của người khác)	介護士さん、お名前は？\nAnh hộ lý ơi,  anh tên là gì thế?	2	Nhà của Cáo N5
18	警察官	けいさつかん	Cảnh sát (khi nói đến nghề của bản thân)	私は警察官じゃありません。\nTôi không phải là cảnh sát.	2	Nhà của Cáo N5
19	お巡りさん	おまわりさん	Cảnh sát (khi nói đến nghề của người khác)	お巡りさんは韓国人ですか。\nAnh cảnh sát là người Hàn phải không?	2	Nhà của Cáo N5
20	駅員	えきいん	Nhân viên nhà ga (khi nói đến nghề của bản thân)	私は駅員です。\nTôi là nhân viên nhà ga.	2	Nhà của Cáo N5
21	駅員さん	えきいんさん	Nhân viên nhà ga (khi nói đến nghề của người khác)	駅員さんはアメリカ人じゃありません。\nAnh nhân viên nhà ga không phải là người Mỹ.	2	Nhà của Cáo N5
22	運転手	うんてんしゅ	Tài xế (khi nói đến nghề của bản thân)	私は運転手です。\nTôi là tài xế.	2	Nhà của Cáo N5
23	運転手さん	うんてんしゅさん	Tài xế (khi nói đến nghề của người khác)	運転手さんはカナダ人ですか。\nBác tài là người Canada phải không?	2	Nhà của Cáo N5
24	教師	きょうし	Giáo viên (khi nói đến nghề của bản thân)	私は教師じゃありません。\nTôi không phải là giáo viên.	2	Nhà của Cáo N5
25	先生	せんせい	Giáo viên (khi nói đến nghề của người khác)	イヌさんは先生ですか。\nBạn Inu là thầy giáo phải không?	2	Nhà của Cáo N5
26	学生	がくせい	Học sinh/Sinh viên	ネコさんは学生ですか。\nBạn Neko có phải là sinh viên không?	2	Nhà của Cáo N5
