STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	趣味	しゅみ	Sở thích	キツネさんの趣味は何ですか。\nSở thích của anh Kitsune là gì thế?	5	Nhà của Cáo N5
2	音楽	おんがく	Âm nhạc	イヌさんの趣味も音楽とジャズじゃありませんか。\nSở thích của anh inu cũng không phải là âm nhạc và nhạc jazz phải không?	5	Nhà của Cáo N4
3	カラオケ	カラオケ	Karaoke	ネコさんの趣味はカラオケと映画ですか。\nSở thích của anh neko là karaoke và phim ảnh phải không?	5	Nhà của Cáo N5
4	歌	うた	Hát	ネコさんの趣味は歌とギターです。\nSở thích của anh neko là hát và đàn guitar.	5	Nhà của Cáo N5
5	ピアノ	ピアノ	Đàn Piano	キツネさんの趣味もピアノと歌じゃありません。\nSở thích của anh kitsune cũng không phải là đàn piano và hát.	5	Nhà của Cáo N5
6	ギター	ギター	Đàn Guitar	ネコさんの趣味もギターと生け花じゃありません。\nSở thích của anh neko cũng không phải là đàn guitar và nghệ thuật cắm hoa.	5	Nhà của Cáo N5
7	ジャズ	ジャズ	Nhạc Jazz	キツネさんの趣味はジャズとスキーじゃありません。\nSở thích của anh kitsune không phải là nhạc jazz và trượt tuyết.	5	Nhà của Cáo N5
8	ポップス	ポップス	Nhạc Pop	ネコさんの趣味はポップスとテニスじゃありません。\nSở thích của anh neko không phải là nhạc pop và tennis.	5	Nhà của Cáo N5
9	ロック	ロック	Nhạc Rock	キツネさんの趣味はロックと水泳ですか。\nSở thích của anh kitsune là nhạc rock và bơi lội phải không?	5	Nhà của Cáo N5
10	スポーツ	スポーツ	Thể thao	イヌさんの趣味はスポーツとゲームですか。\nSở thích của anh inu là thể thao và game phải không?	5	Nhà của Cáo N5
11	ジョギング	ジョギング	Chạy bộ (Jogging)	イヌさんの趣味はジョギングと旅行じゃありません。\nSở thích của anh inu không phải là chạy bộ và du lịch.	5	Nhà của Cáo N5
12	スキー	スキー	Trượt tuyết	ネコさんの趣味はスキーとダンスです。\nSở thích của anh neko là trượt tuyết và khiêu vũ.	5	Nhà của Cáo N5
13	ダンス	ダンス	khiêu vũ	イヌさんの趣味もダンスと生け花です。\nSở thích của anh inu cũng là khiêu vũ và nghệ thuật cắm hoa.	5	Nhà của Cáo N5
14	釣り	つり	Câu cá	イヌさんの趣味も釣りとポップスです。\nSở thích của anh inu cũng là câu cá và nhạc pop.	5	Nhà của Cáo N5
15	野球	やきゅう	Bóng chày	キツネさんの趣味は野球とジョギングですか。\nSở thích của anh kitsune là bóng chày và chạy bộ phải không?	5	Nhà của Cáo N5
16	相撲	すもう	Sumo	キツネさんの趣味も相撲とスキーじゃありません。\nSở thích của anh kitsune cũng không phải là sumo và trượt tuyết.	5	Nhà của Cáo N5
17	柔道	じゅうどう	Judo (Nhu đạo)	私の趣味も柔道と音楽じゃありません。\nSở thích của mình cũng không phải là judo (nhu đạo) và âm nhạc.	5	Nhà của Cáo N5
18	空手道	からてどう	Karate	ネコさんの趣味も空手道とカラオケじゃありません。\nSở thích của anh neko cũng không phải là karate và karaoke.	5	Nhà của Cáo N5
19	ゴルフ	ゴルフ	Golf	イヌさんの趣味はゴルフと相撲です。\nSở thích của anh inu là golf và sumo.	5	Nhà của Cáo N5
20	サッカー	サッカー	Bóng đá	キツネさんの趣味もサッカーと水泳ですか。\nSở thích của anh kitsune cũng là bóng đá và bơi lội phải không?	5	Nhà của Cáo N5
21	テニス	テニス	Tennis	私の趣味もテニスとスポーツです。\nSở thích của mình cũng là tennis và thể thao.	5	Nhà của Cáo N5
22	水泳	すいえい	Bơi lội	ネコさんの趣味も水泳と映画です。\nSở thích của anh neko cũng là bơi lội và phim ảnh.	5	Nhà của Cáo N5
23	読書	どくしょ	Đọc sách	ネコさんの趣味は読書とカラオケです。\nSở thích của anh neko là đọc sách và karaoke.	5	Nhà của Cáo N5
24	旅行	りょこう	Du lịch	私の趣味も旅行とゲームじゃありません。\nSở thích của mình cũng không phải là du lịch và game.	5	Nhà của Cáo N5
25	料理	りょうり	Nấu ăn	イヌさんの趣味も料理とギターです。\nSở thích của anh inu cũng là nấu ăn và đàn guitar.	5	Nhà của Cáo N5
26	生け花	いけばな	Nghệ thuật cắm hoa	キツネさんの趣味は生け花とスキーじゃありませんか。\nSở thích của anh kitsune không phải là nghệ thuật cắm hoa và trượt tuyết phải không?	5	Nhà của Cáo N5
27	茶道	さどう/ちゃどう	Trà đạo	私の趣味は茶道と野球です。\nSở thích của mình là trà đạo và bóng chày.	5	Nhà của Cáo N5
28	写真	しゃしん	Chụp ảnh	ネコさんの趣味も写真と空手道ですか。\nSở thích của anh neko cũng là chụp ảnh và karate phải không?	5	Nhà của Cáo N5
29	絵	え	Hội họa/Bức tranh	ネコさんの趣味は絵とジョギングじゃありませんか。\nSở thích của anh neko không phải là hội họa/bức tranh và chạy bộ phải không?	5	Nhà của Cáo N5
30	漫画	まんが	Truyện tranh	私の趣味は漫画とゴルフじゃありません。\nSở thích của mình không phải là truyện tranh và golf.	5	Nhà của Cáo N5
31	アニメ	アニメ	Hoạt hình	ネコさんの趣味はアニメとカラオケですか。\nSở thích của anh neko là hoạt hình và karaoke phải không?	5	Nhà của Cáo N5
32	ゲーム	ゲーム	Trò chơi (Game)	ネコさんの趣味もゲームと水泳ですか。\nSở thích của anh neko cũng là game và bơi lội phải không?	5	Nhà của Cáo N5
33	映画	えいが	Phim ảnh	私の趣味は映画とスキーじゃありません。\nSở thích của mình không phải là phim ảnh và trượt tuyết.	5	Nhà của Cáo N5
