STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	英語	えいご	Tiếng Anh	「豚肉」は英語で何ですか。\n"Butaniku" tiếng Anh là gì?	9	Nhà của Cáo N5
2	～語	～ご	Tiếng nước ~	「豚肉」はベトナム語で何ですか。\n"Butaniku" tiếng Việt là gì?	9	Nhà của Cáo N5
3	１つ	ひとつ	1 cái/1 chiếc	とんかつを１つください。\nCho tôi một phần thịt chiên xù.	9	Nhà của Cáo N5
4	２つ	ふたつ	2 cái/2 chiếc	消しゴムが２つあります。\nCó 2 cục tẩy.	9	Nhà của Cáo N5
5	３つ	みっつ	3 cái/3 chiếc	おにぎりは３ついくらですか。\n3 nắm cơm nắm giá bao nhiêu tiền?	9	Nhà của Cáo N5
6	４つ	よっつ	4 cái/4 chiếc	ハンバーグを４つとカレーを１つください。	9	Nhà của Cáo N5
7	５つ	いつつ	5 cái/5 chiếc	みかんを５つください。\nCho tôi 5 quả quýt.	9	Nhà của Cáo N5
8	６つ	むっつ	6 cái/6 chiếc	りんごが６つあります。\nCó 6 quả táo.	9	Nhà của Cáo N5
9	７つ	ななつ	7 cái/7 chiếc	ケーキは７ついくらですか。\n7 cái bánh kem giá bao nhiêu ạ?	9	Nhà của Cáo N5
10	８つ	やっつ	8 cái/8 chiếc	もちは８つ８００円です。\n8 cái bánh mochi giá 800 yên.	9	Nhà của Cáo N5
11	９つ	ここのつ	9 cái/9 chiếc	パンを９つください。\nCho tôi 9 cái bánh mì.	9	Nhà của Cáo N5
12	１０	とお	10 cái/10 chiếc	たまごが１０あります。\nCó 10 quả trứng.	9	Nhà của Cáo N5
13	いくつ	いくつ	Mấy cái?/Mấy chiếc?	みかんがいくつありますか。\nCó mấy quả quýt vậy ạ?	9	Nhà của Cáo N5
14	１個	いっこ	1 cái/1 chiếc	消しゴムを１個ください。\nCho tôi một cục tẩy.	9	Nhà của Cáo N5
15	２個	にこ	2 cái/2 chiếc	たまごが２個あります。\nCó 2 quả trứng.	9	Nhà của Cáo N5
16	３個	さんこ	3 cái/3 chiếc	バナナは３個いくらですか。\n3 quả chuối giá bao nhiêu ạ?	9	Nhà của Cáo N5
17	４個	よんこ	4 cái/4 chiếc	パンは４個４０0円です。\n4 cái bánh mì giá 400 yên.	9	Nhà của Cáo N5
18	５個	ごこ	5 cái/5 chiếc	チョコレートを５個ください。\nCho tôi 5 thanh sô-cô-la.	9	Nhà của Cáo N5
19	６個	ろっこ	6 cái/6 chiếc	たこ焼きが６個あります。\nCó 6 viên bạch tuộc chiên.	9	Nhà của Cáo N5
20	７個	ななこ	7 cái/7 chiếc	ケーキは７個いくらですか。\n7 cái bánh kem giá bao nhiêu ạ?	9	Nhà của Cáo N5
21	８個	はっこ	8 cái/8 chiếc	餃子は８個８００円です。\n8 cái bánh xếp Nhật (gyoza) giá 800 yên.	9	Nhà của Cáo N5
22	９個	きゅうこ	9 cái/9 chiếc	りんごを９個とみかんを２個ください。\nCho tôi 9 quả táo và 2 quả quýt.	9	Nhà của Cáo N5
23	１０個	じゅっこ	10 cái/10 chiếc	たまごが１０個あります。\nCó 10 quả trứng.	9	Nhà của Cáo N5
24	何個	なんこ	Mấy cái?/Mấy chiếc?	りんごが何個ありますか。\nCó mấy quả táo vậy ạ?	9	Nhà của Cáo N5
25	あります	あります	Có	りんごが何個ありますか。\nCó mấy quả táo vậy ạ?	9	Nhà của Cáo N5
