STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	雨	あめ	Mưa	ダナンは１０月、雨が多いです。\nĐà Nẵng tháng 10 nhiều mưa.	16	Nhà của Cáo N5
2	雪	ゆき	Tuyết	日本は冬、雪が多いです。\nNhật Bản vào mùa đông có nhiều tuyết.	16	Nhà của Cáo N5
3	日	ひ	Mặt trời	日はとても綺麗です。\nMặt trời rất đẹp.	16	Nhà của Cáo N5
4	春	はる	Mùa xuân	日本は春、どうですか。\nNhật Bản vào mùa xuân thì thế nào?	16	Nhà của Cáo N5
5	夏	なつ	Mùa hè	ベトナムは夏、とても暑いです。\nViệt Nam vào mùa hè rất nóng.	16	Nhà của Cáo N5
6	秋	あき	Mùa thu	カナダは秋、涼しいですか。\nCanada vào mùa thu có mát không?	16	Nhà của Cáo N5
7	冬	ふゆ	Mùa đông	ロシアは冬、寒いです。\nNga vào mùa đông thì lạnh.	16	Nhà của Cáo N5
8	天気がいい	てんきがいい	Thời tiết đẹp	オーストラリアは夏、天気がいいです。\nÚc vào mùa hè thời tiết đẹp.	16	Nhà của Cáo N5
9	天気が悪い	てんきがわるい	Thời tiết xấu	イギリスは１月、天気が悪いです。\nAnh vào tháng 1 thời tiết xấu.	16	Nhà của Cáo N5
10	暖かい	あたたかい	Ấm áp (thời tiết)	タイは一年中、暖かいです。\nThái Lan quanh năm ấm áp.	16	Nhà của Cáo N5
11	温かい	あたたかい	Ấm (vật chất)	スープは少し温かいです。\nSúp hơi ấm.	16	Nhà của Cáo N5
12	涼しい	すずしい	Mát mẻ	イギリスは秋、涼しいですか。\nAnh vào mùa thu có mát không?	16	Nhà của Cáo N5
13	暑い	あつい	Nóng (thời tiết)	ベトナムは一年中、とても暑いです。\nViệt Nam quanh năm rất nóng.	16	Nhà của Cáo N5
14	熱い	あつい	Nóng (vật chất)	お茶はとても熱いです。\nTrà rất nóng.	16	Nhà của Cáo N5
15	寒い	さむい	Lạnh (thời tiết)	日本は冬、とても寒いです。\nNhật Bản vào mùa đông rất lạnh.	16	Nhà của Cáo N5
16	冷たい	つめたい	Lạnh (vật chất)	水はあまり冷たくないです。\nNước không lạnh lắm.	16	Nhà của Cáo N5
17	あけび	あけび	Quả nho tím akebi	あけびはとても甘いです。\nQuả nho tím akebi rất ngọt.	16	Nhà của Cáo N5
18	アセロラ	アセロラ	Quả sơ ri	アセロラは少しすっぱいです。\nQuả sơ ri hơi chua.	16	Nhà của Cáo N5
19	あんず	あんず	Quả mơ hạnh	あんずはとてもすっぱいです。\nQuả mơ hạnh rất chua.	16	Nhà của Cáo N5
20	いちご	いちご	Quả dâu tây	キツネさんのいちごはとても大きいです。\nDâu tây của anh Kitsune rất to.	16	Nhà của Cáo N5
21	いちじく	いちじく	Quả sung	いちじくはあまり甘くないです。\nQuả sung không ngọt lắm.	16	Nhà của Cáo N5
22	梅	うめ	Quả mơ ta	梅はとてもすっぱいです。\nQuả mơ ta rất chua.	16	Nhà của Cáo N5
23	オリーブ	オリーブ	Quả ô liu	オリーブは少ししょっぱいです。\nQuả ô liu hơi mặn.	16	Nhà của Cáo N5
24	オレンジ	オレンジ	Quả cam	イヌさんのオレンジはとてもおいしいです。\nCam của anh Inu rất ngon.	16	Nhà của Cáo N5
25	柿	かき	Quả hồng	柿は少し渋いです。\nQuả hồng hơi chát.	16	Nhà của Cáo N5
26	かりん	かりん	Quả mộc qua	かりんはあまりおいしくないです。\nQuả mộc qua không ngon lắm.	16	Nhà của Cáo N5
27	キウイ	キウイ	Quả kiwi	キウイはとてもすっぱいです。\nQuả kiwi rất chua.	16	Nhà của Cáo N5
28	金柑	きんかん	Quả kim quất	金柑は少しすっぱいです。\nQuả kim quất hơi chua.	16	Nhà của Cáo N5
29	グァバ	グァバ	Quả ổi	グァバはとてもおいしいです。\nQuả ổi rất ngon.	16	Nhà của Cáo N5
30	クランベリー	クランベリー	Quả nam việt quất	クランベリーは少しすっぱいです。\nQuả nam việt quất hơi chua.	16	Nhà của Cáo N5
31	栗	くり	Hạt dẻ	栗はとてもうまいです。\nHạt dẻ rất ngon.	16	Nhà của Cáo N5
