STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	パーティー	パーティー	Bữa tiệc	この日曜日、パーティーをします。\nChủ Nhật này tớ sẽ tổ chức tiệc.	11	Nhà của Cáo N5
2	バーベキュー	バーベキュー	Tiệc nướng ngoài trời	公園でバーベキューをします。\nTôi tổ chức tiệc nướng ở công viên.	11	Nhà của Cáo N5
3	花火	はなび	Pháo hoa	夜、花火を見ますか。\nBạn có xem pháo hoa vào buổi tối không?	11	Nhà của Cáo N5
4	（お）花見	（お）はなみ	Ngắm hoa anh đào	公園でお花見をします。\nTôi ngắm hoa anh đào ở công viên.	11	Nhà của Cáo N5
5	（お）祭り	（お）まつり	Lễ hội	どこでお祭りをしますか。\nTổ chức lễ hội ở đâu vậy?	11	Nhà của Cáo N5
6	月	つき	Mặt trăng	月を見ません。\nTôi không ngắm trăng.	11	Nhà của Cáo N5
7	紅葉	もみじ	Lá đỏ	キツネさんは紅葉を見ます。\nAnh Kitsune ngắm lá đỏ.	11	Nhà của Cáo N5
8	桜	さくら	Hoa anh đào	ネコさんは桜を見ますか。\nAnh Neko có ngắm hoa anh đào không?	11	Nhà của Cáo N5
9	海	うみ	Biển	日曜日、海へ行きます。\nChủ Nhật tôi đi biển.	11	Nhà của Cáo N5
10	山	やま	Núi	山へ行きますか。\nBạn có đi núi không?	11	Nhà của Cáo N5
11	元日	がんじつ	Ngày mùng 1 Tết	元日、病院へ行きません。\nNgày mùng 1 Tết, tôi không đi bệnh viện.	11	Nhà của Cáo N5
12	成人の日	せいじんのひ	Ngày Lễ trưởng thành (thứ Hai của tuần thứ hai của tháng 1)	成人の日、ホテルでご飯を食べます。\nNgày Lễ trưởng thành, tôi ăn cơm ở khách sạn.	11	Nhà của Cáo N5
13	建国記念の日	けんこくきねんのひ	Ngày Quốc khánh (11/02)	建国記念の日、海へ行きます。\nNgày Quốc khánh, tôi đi biển.	11	Nhà của Cáo N5
14	天皇誕生日	てんのうたんじょうび	Sinh nhật Thiên Hoàng (Hiện tại là ngày 23/02)	天皇誕生日、何をしますか。\nSinh nhật Thiên Hoàng, bạn làm gì?	11	Nhà của Cáo N5
15	春分の日	しゅんぶんのひ	Ngày Xuân phân (20/03 hoặc 21/03)	春分の日、どこへ行きますか。\nNgày Xuân phân, bạn đi đâu?	11	Nhà của Cáo N5
16	昭和の日	しょうわのひ	Ngày Chiêu Hòa (29/04)	昭和の日、日本へ行きます。\nNgày Chiêu Hòa, tôi đi Nhật Bản.	11	Nhà của Cáo N5
17	憲法記念日	けんぽうきねんび	Ngày Kỷ niệm hiến pháp (03/05)	憲法記念日、大学でジュースを飲みません。\nNgày Kỷ niệm hiến pháp, tôi không uống nước ép ở trường đại học.	11	Nhà của Cáo N5
18	みどりの日	みどりのひ	Ngày Cây xanh (04/05)	みどりの日、公園でバーベキューをします。\nNgày Cây xanh, tôi tổ chức tiệc nướng ở công viên.	11	Nhà của Cáo N5
19	こどもの日	こどものひ	Ngày Thiếu nhi (05/05)	こどもの日、動物園へ行きます。\nNgày Thiếu nhi, tôi đi sở thú.	11	Nhà của Cáo N5
20	海の日	うみのひ	Ngày của Biển (thứ Hai của tuần thứ ba của tháng 7)	海の日、海へ行きます。\nNgày của Biển, tôi đi biển.	11	Nhà của Cáo N5
21	山の日	やまのひ	Ngày của Núi (11/08)	イヌさん、山の日、山へ行きますか。\nAnh Inu này, Ngày của Núi anh có đi núi không?	11	Nhà của Cáo N5
22	敬老の日	けいろうのひ	Ngày Kính lão (thứ Hai của tuần thứ ba của tháng 9)	敬老の日、レストランでお寿司を食べます。\nNgày Kính lão, tôi ăn sushi ở nhà hàng.	11	Nhà của Cáo N5
23	秋分の日	しゅうぶんのひ	Ngày Thu phân (22/09 hoặc 23/09)	秋分の日、紅葉を見ます。\nNgày Thu phân, tôi ngắm lá đỏ.	11	Nhà của Cáo N5
24	スポーツの日	スポーツのひ	Ngày Thể thao (thứ Hai của tuần thứ hai của tháng 10)	スポーツの日、体育館でスポーツをします。\nNgày Thể thao, tôi chơi thể thao ở nhà thi đấu.	11	Nhà của Cáo N5
25	文化の日	ぶんかのひ	Ngày Văn hóa (03/11)	文化の日、美術館へ行きます。\nNgày Văn hóa, tôi đi bảo tàng mỹ thuật.	11	Nhà của Cáo N5
26	勤労感謝の日	きんろうかんしゃのひ	Ngày Lễ tạ ơn lao động (23/11)	勤労感謝の日、仕事をしません。\nNgày Lễ tạ ơn lao động, tôi không làm việc.	11	Nhà của Cáo N5
27	ゴールデンウィーク	ゴールデンウィーク	Tuần lễ vàng (29/04 - 05/05)	キツネさん、ゴールデンウィーク、どこへ行きますか。\nAnh Kitsune này, Tuần lễ vàng anh đi đâu vậy?	11	Nhà của Cáo N5
28	行きます	いきます	Đi	空港へ行きます。\nTôi đi đến sân bay.	11	Nhà của Cáo N5
29	帰ります	かえります	Về	ベトナムへ帰りません。\nTôi không về Việt Nam.	11	Nhà của Cáo N5
30	飲みます	のみます	Uống	喫茶店でコーヒーを飲みます。\nTôi uống cà phê ở quán giải khát.	11	Nhà của Cáo N5
31	食べます	たべます	Ăn	お弁当を食べますか。\nBạn có ăn cơm hộp không?	11	Nhà của Cáo N5
32	見ます	みます	Xem	ネコさんは映画を見ます。\nAnh Neko xem phim.	11	Nhà của Cáo N5
33	します	します	Làm	どこでサッカーをしますか。\nBạn chơi bóng đá ở đâu vậy?	11	Nhà của Cáo N5
34	いいですね。	いいですね。	Tuyệt quá nhỉ	水族館へ行きます。いいですね。\nTôi đi thủy cung. Tuyệt quá nhỉ.	11	Nhà của Cáo N5
