STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	今	いま	Bây giờ	今は何時ですか。\nGiờ là mấy giờ vậy?	10	Nhà của Cáo N5
2	午前	ごぜん	Sáng	午前９時です。\nBây giờ là 9 giờ sáng.	10	Nhà của Cáo N5
3	午後	ごご	Chiều	キツネさんは午後１時から５時までです。\nAnh Kitsune làm việc từ 1 giờ đến 5 giờ chiều.	10	Nhà của Cáo N5
4	朝	あさ	Buổi sáng	朝は７時半からです。\nBuổi sáng bắt đầu từ 7 giờ rưỡi.	10	Nhà của Cáo N5
5	昼	ひる	Buổi trưa	昼の休みは１２時から午後１時までです。\nGiờ nghỉ trưa là từ 12 giờ đến 1 giờ chiều.	10	Nhà của Cáo N5
6	夜	よる	Buổi tối	ネコさんは夜の７時から９時までです。\nAnh Neko làm việc từ 7 giờ đến 9 giờ tối.	10	Nhà của Cáo N5
7	～時	～じ	Giờ	今は何時ですか。\nBây giờ là mấy giờ?	10	Nhà của Cáo N5
8	４時	よじ	4 giờ	午後４時です。\nBây giờ là 4 giờ chiều.	10	Nhà của Cáo N5
9	７時	しちじ	7 giờ	イヌさんは午前７時からですか。\nAnh Inu làm việc từ 7 giờ sáng phải không?	10	Nhà của Cáo N5
10	９時	くじ	9 giờ	今は９時じゃありません。\nBây giờ không phải là 9 giờ.	10	Nhà của Cáo N5
11	１時	いちじ	1 giờ	昼休みは午後１時までです。\nNghỉ trưa đến 1 giờ chiều.	10	Nhà của Cáo N5
12	何時	なんじ	Mấy giờ	ネコさんの休みは何時からですか。\nGiờ nghỉ của anh Neko từ mấy giờ?	10	Nhà của Cáo N5
13	～分	～ふん	Phút	今は８時３０分です。\nBây giờ là 8 giờ 30 phút.	10	Nhà của Cáo N5
14	１分	いっぷん	1 phút	休みは１分ですか。\nNghỉ 1 phút thôi à?	10	Nhà của Cáo N5
15	３分	さんぷん	3 phút	３分じゃありません。\nKhông phải 3 phút đâu.	10	Nhà của Cáo N5
16	４分	よんぷん	4 phút	今は１０時４分です。\nBây giờ là 10 giờ 4 phút.	10	Nhà của Cáo N5
17	６分	ろっぷん	6 phút	５時６分です。\nBây giờ là 5 giờ 6 phút.	10	Nhà của Cáo N5
18	７分	ななふん	7 phút	７分ですか。\n7 phút à?	10	Nhà của Cáo N5
19	８分	はっぷん	8 phút	９時８分です。\n9 giờ 8 phút.	10	Nhà của Cáo N5
20	１０分	じゅっぷん	10 phút	ネコさんの休みは１０分です。\nGiờ nghỉ của anh Neko là 10 phút.	10	Nhà của Cáo N5
21	何分	なんぷん	Mấy phút	今は何時何分ですか。\nBây giờ là mấy giờ mấy phút?	10	Nhà của Cáo N5
22	半	はん	Rưỡi	今は３時半です。\nBây giờ là 3 giờ rưỡi.	10	Nhà của Cáo N5
23	休み	やすみ	Ngày nghỉ	日曜日はキツネさんの休みです。\nChủ Nhật là ngày nghỉ của anh Kitsune.	10	Nhà của Cáo N5
24	月曜日	げつようび	Thứ Hai	月曜日は休みです。\nThứ Hai là ngày nghỉ.	10	Nhà của Cáo N5
25	火曜日	かようび	Thứ Ba	火曜日は休みじゃありません。\nThứ Ba không phải là ngày nghỉ.	10	Nhà của Cáo N5
26	水曜日	すいようび	Thứ Tư	ネコさんの休みは水曜日ですか。\nNgày nghỉ của anh Neko là thứ Tư phải không?	10	Nhà của Cáo N5
27	木曜日	もくようび	Thứ Năm	木曜日は休みです。\nThứ Năm là ngày nghỉ.	10	Nhà của Cáo N5
28	金曜日	きんようび	Thứ Sáu	金曜日は体育館の休みです。\nThứ Sáu là ngày nghỉ của phòng tập thể dục.	10	Nhà của Cáo N5
29	土曜日	どようび	Thứ Bảy	イヌさんの休みは土曜日と日曜日です。\nNgày nghỉ của anh Inu là thứ Bảy và Chủ Nhật.	10	Nhà của Cáo N5
30	日曜日	にちようび	Chủ Nhật	日曜日は休みですか。\nChủ Nhật có được nghỉ không?	10	Nhà của Cáo N5
31	学校	がっこう	Trường học	すみません。この学校はいつからいつまでですか。\nXin thứ lỗi. Cho hỏi trường này mở cửa từ mấy giờ đến mấy giờ thế?	10	Nhà của Cáo N5
32	日本語学校	にほんごがっこう	Trường tiếng Nhật	日本語学校は午前１０時から午後６時までです。\nTrường tiếng Nhật mở cửa từ 10 giờ sáng đến 6 giờ chiều.	10	Nhà của Cáo N5
33	専門学校	せんもんがっこう	Trường nghề	その専門学校の休みは日曜日です。\nNgày nghỉ của trường nghề đó là Chủ Nhật.	10	Nhà của Cáo N5
34	大学	だいがく	Đại học	この大学は５時からです。\nTrường đại học này mở cửa từ 5 giờ.	10	Nhà của Cáo N5
35	駅	えき	Nhà ga	駅は午前５時から午後１１時半までです。\nNhà ga mở cửa từ 5 giờ sáng đến 11 giờ rưỡi đêm.	10	Nhà của Cáo N5
36	銀行	ぎんこう	Ngân hàng	銀行の休みは土曜日と日曜日です。\nNgày nghỉ của ngân hàng là thứ Bảy và Chủ Nhật.	10	Nhà của Cáo N5
37	体育館	たいいくかん	Phòng tập thể dục	体育館の休みは何曜日ですか。\nNgày nghỉ của phòng tập thể dục là thứ mấy?	10	Nhà của Cáo N5
