STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	温泉	おんせん	Suối nước nóng	イヌさんの町に温泉がありますか。\nỞ thành phố của anh Inu có suối nước nóng không?	15	Nhà của Cáo N5
2	川	かわ	Sông; Suối	私の町にきれいな川があります。\nỞ thành phố của tôi có dòng sông đẹp.	15	Nhà của Cáo N5
3	教会	きょうかい	Nhà thờ	この教会はちいさいですが、きれいです。\nCái nhà thờ này nhỏ nhưng mà đẹp.	15	Nhà của Cáo N5
4	（お）城	（お）しろ	Lâu đài	あの古いお城へ行きます。\nTớ sẽ đi đến lâu đài cổ kính kia.	15	Nhà của Cáo N5
5	神社	じんじゃ	Đền thờ Thần Đạo	有名な神社へ来ました。\nTớ đã đến một đền thờ Thần Đạo nổi tiếng rồi nè.	15	Nhà của Cáo N5
6	ところ	ところ	Nơi; Chỗ	このところから新しい教会まで歩いては５分ぐらいです。\nTừ chỗ này đến nhà thờ mới mất khoảng 5 phút.	15	Nhà của Cáo N5
7	新しい	あたらしい	Mới	新しい新聞を買いました。\nTớ đã mua báo mới.	15	Nhà của Cáo N5
8	古い	ふるい	Cũ	その郵便局は古いですが、大きいです。\nCái bưu điện đó cũ nhưng mà lớn.	15	Nhà của Cáo N5
9	いい	いい	Tốt	あのゲームは新しいですが、よくないです。\nCon game đó mới nhưng mà không hay.	15	Nhà của Cáo N5
10	高い	たかい	Cao	富士山は高い山ですね。\nNúi Phú Sĩ là một ngọn núi cao nhỉ.	15	Nhà của Cáo N5
11	低い	ひくい	Thấp	そのビルは低いですが、人が多いです。\nTòa nhà đó thấp nhưng người đông nghịt.	15	Nhà của Cáo N5
12	綺麗（な）	きれい（な）	Đẹp; Sạch sẽ	４月１０日きれいな桜を見ます。\nMùng 10 tháng 4 tôi sẽ ngắm hoa anh đào đẹp.	15	Nhà của Cáo N5
13	有名（な）	ゆうめい（な）	Nổi tiếng	毎晩、８時に有名な人のCDを聞きます。\nMỗi tối lúc 8 giờ tôi đều nghe CD của người nổi tiếng.	15	Nhà của Cáo N5
14	どんな	どんな	Như thế nào	キツネさん、お国はどんな国ですか。\nAnh Kitsune này, đất nước anh là đất nước như nào thế?	15	Nhà của Cáo N5
