STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	どれ	どれ	Cái nào	へえ？どれですか。\nHở? Cái nào thế?	8	Nhà của Cáo N5
2	これ	これ	Cái này	これは私の水です。\nĐây là nước của tôi.	8	Nhà của Cáo N5
3	それ	それ	Cái đó	それは誰のジュースですか。\nCái đó là nước quả của ai thế?	8	Nhà của Cáo N5
4	あれ	あれ	Cái kia	あれをください。\nCho tôi cái kia.	8	Nhà của Cáo N5
5	ください	ください	Xin hãy cho tôi / làm ơn	お水をください。\nCho tôi xin nước.	8	Nhà của Cáo N5
6	注文をお願いします。	ちゅうもんをおねがいします。	Xin cho tôi gọi món	すみません、注文をお願いします。\nXin lỗi, cho tôi gọi món với ạ.	8	Nhà của Cáo N5
7	かしこまりました。	かしこまりました。	Vâng, tôi hiểu rồi	とんかつですね。かしこまりました。\nAnh gọi thịt chiên xù đúng không ạ? Tôi đã hiểu rồi.	8	Nhà của Cáo N5
8	誰	だれ	Ai	これは誰の料理ですか。\nĐây là món ăn của ai thế?	8	Nhà của Cáo N5
9	メニュー	メニュー	Thực đơn	メニューをください。\nCho tôi xin cái thực đơn.	8	Nhà của Cáo N5
10	食べ物	たべもの	Đồ ăn	これは誰の食べ物ですか。\nĐây là đồ ăn của ai thế?	8	Nhà của Cáo N5
11	飲み物	のみもの	Đồ uống	飲み物をください。\nCho tôi xin đồ uống.	8	Nhà của Cáo N5
12	料理	りょうり	Món ăn / nấu ăn	それは誰の料理ですか。\nĐó là món ăn của ai vậy?	8	Nhà của Cáo N5
13	肉	にく	Thịt	肉をください。\nCho tôi xin thịt.	8	Nhà của Cáo N5
14	牛肉	ぎゅうにく	Thịt bò	牛肉をください。\nCho tôi xin thịt bò.	8	Nhà của Cáo N5
15	鶏肉	とりにく	Thịt gà	あれは誰の鶏肉ですか。\nKia là thịt gà của ai thế?	8	Nhà của Cáo N5
16	豚肉	ぶたにく	Thịt heo	豚肉をください。\nCho tôi xin thịt heo.	8	Nhà của Cáo N5
17	魚	さかな	Cá	これは誰の魚ですか。\nĐây là cá của ai vậy?	8	Nhà của Cáo N5
18	卵	たまご	Trứng	卵をください。\nCho tôi xin trứng.	8	Nhà của Cáo N5
19	軟骨	なんこつ	Sụn (thường là sụn gà)	軟骨をください。\nCho tôi xin sụn.	8	Nhà của Cáo N5
20	ウナギのかば焼き	ウナギのかばやき	Lươn nướng sốt	ウナギのかば焼きをください。\nCho tôi món lươn nướng sốt.	8	Nhà của Cáo N5
21	刺身	さしみ	Sashimi / cá sống	それは誰の刺身ですか。\nĐó là sashimi của ai thế?	8	Nhà của Cáo N5
22	野菜	やさい	Rau	野菜をください。\nCho tôi xin rau.	8	Nhà của Cáo N5
23	枝豆	えだまめ	Đậu nành luộc	枝豆をください。\nCho tôi món đậu nành luộc.	8	Nhà của Cáo N5
24	イチゴ	イチゴ	Dâu tây	あれは誰のイチゴですか。\nKia là dâu tây của ai vậy?	8	Nhà của Cáo N5
25	リンゴ	リンゴ	Táo	リンゴをください。\nCho tôi xin quả táo.	8	Nhà của Cáo N5
26	バナナ	バナナ	Chuối	バナナをください。\nCho tôi xin quả chuối.	8	Nhà của Cáo N5
27	レモン	レモン	Chanh	あれは誰のレモンですか。\nKia là chanh của ai vậy?	8	Nhà của Cáo N5
28	みかん	みかん	Quýt	みかんをください。\nCho tôi xin quả quýt.	8	Nhà của Cáo N5
29	ご飯	ごはん	Cơm	ご飯をください。\nCho tôi xin cơm.	8	Nhà của Cáo N5
30	ライス	ライス	Cơm (kiểu Tây)	これは誰のライスですか。\nĐây là cơm của ai thế?	8	Nhà của Cáo N5
31	おにぎり	おにぎり	Cơm nắm	おにぎりをください。\nCho tôi xin cơm nắm.	8	Nhà của Cáo N5
32	お弁当	おべんとう	Cơm hộp	それはお弁当ですか。\nCái đó là cơm hộp phải không?	8	Nhà của Cáo N5
33	牛丼	ぎゅうどん	Cơm bò	牛丼をください。\nCho tôi món cơm bò.	8	Nhà của Cáo N5
