1	初めまして。	初（はじ）めまして。	Rất hân hạnh được làm quen với bạn.	1	Nhà của Cáo N5
2	私はイヌです。	私（わたし）はイヌです。	Mình là Inu.	1	Nhà của Cáo N5
3	私はネコです。	私（わたし）はネコです。	Mình là Neko.	1	Nhà của Cáo N5
4	私はキツネです。	私（わたし）はキツネです。	Mình là Kitsune.	1	Nhà của Cáo N5
5	私はベトナム人です。	私（わたし）はベトナム人（じん）です。	Mình là người Việt Nam.	1	Nhà của Cáo N5
6	私は日本人です。	私（わたし）は日本人（にほんじん）です。	Mình là người Nhật Bản.	1	Nhà của Cáo N5
7	私はインド人です。	私（わたし）はインド人（じん）です。	Mình là người Ấn Độ.	1	Nhà của Cáo N5
8	私はマレーシア人です。	私（わたし）はマレーシア人（じん）です。	Mình là người Malaysia.	1	Nhà của Cáo N5
9	私はインドネシア人です。	私（わたし）はインドネシア人（じん）です。	Mình là người Indonesia.	1	Nhà của Cáo N5
10	私はミャンマー人です。	私（わたし）はミャンマー人（じん）です。	Mình là người Myanmar.	1	Nhà của Cáo N5
11	私は韓国人です。	私（わたし）は韓国人（かんこくじん）です。	Mình là người Hàn Quốc.	1	Nhà của Cáo N5
12	私はトルコ人です。	私（わたし）はトルコ人（じん）です。	Mình là người Thổ Nhĩ Kỳ.	1	Nhà của Cáo N5
13	私はタイ人です。	私（わたし）はタイ人（じん）です。	Mình là người Thái Lan.	1	Nhà của Cáo N5
14	私はオーストラリア人です。	私（わたし）はオーストラリア人（じん）です。	Mình là người Úc.	1	Nhà của Cáo N5
15	私は台湾人です。	私（わたし）は台湾人（たいわんじん）です。	Mình là người Đài Loan.	1	Nhà của Cáo N5
16	私はニュージーランド人です。	私（わたし）はニュージーランド人（じん）です。	Mình là người New Zealand.	1	Nhà của Cáo N5
17	私は中国人です。	私（わたし）は中国人（ちゅうごくじん）です。	Mình là người Trung Quốc.	1	Nhà của Cáo N5
18	私はアメリカ人です。	私（わたし）はアメリカ人（じん）です。	Mình là người Mỹ.	1	Nhà của Cáo N5
19	私はネパール人です。	私（わたし）はネパール人（じん）です。	Mình là người Nepal.	1	Nhà của Cáo N5
20	私はカナダ人です。	私（わたし）はカナダ人（じん）です。	Mình là người Canada.	1	Nhà của Cáo N5
21	私はフィリピン人です。	私（わたし）はフィリピン人（じん）です。	Mình là người Philippines.	1	Nhà của Cáo N5
22	私はメキシコ人です。	私（わたし）はメキシコ人（じん）です。	Mình là người Mexico.	1	Nhà của Cáo N5
23	私はブラジル人です。	私（わたし）はブラジル人（じん）です。	Mình là người Brazil.	1	Nhà của Cáo N5
24	私はスイス人です。	私（わたし）はスイス人（じん）です。	Mình là người Thụy Sĩ.	1	Nhà của Cáo N5
25	私はロシア人です。	私（わたし）はロシア人（じん）です。	Mình là người Nga.	1	Nhà của Cáo N5
26	私はイタリア人です。	私（わたし）はイタリア人（じん）です。	Mình là người Ý.	1	Nhà của Cáo N5
27	私はイギリス人です。	私（わたし）はイギリス人（じん）です。	Mình là người Anh.	1	Nhà của Cáo N5
28	私はスペイン人です。	私（わたし）はスペイン人（じん）です。	Mình là người Tây Ban Nha.	1	Nhà của Cáo N5
29	私はフランス人です。	私（わたし）はフランス人（じん）です。	Mình là người Pháp.	1	Nhà của Cáo N5
30	私はエジプト人です。	私（わたし）はエジプト人（じん）です。	Mình là người Ai Cập.	1	Nhà của Cáo N5
31	私はドイツ人です。	私（わたし）はドイツ人（じん）です。	Mình là người Đức.	1	Nhà của Cáo N5
32	私はケニア人です。	私（わたし）はケニア人（じん）です。	Mình là người Kenya.	1	Nhà của Cáo N5
33	よろしくお願いします。	よろしくお願（ねが）いします。	Rất mong được bạn giúp đỡ.	1	Nhà của Cáo N5
34	初めまして。私はイヌです。私はベトナム人です。よろしくお願いします。	初（はじ）めまして。私（わたし）はイヌです。私（わたし）はベトナム人（じん）です。よろしくお願（ねが）いします。	Rất hân hạnh được làm quen với bạn. Mình là Inu. Mình là người Việt Nam. Rất mong được bạn giúp đỡ.	1	Nhà của Cáo N5
35	初めまして。私はネコです。私はタイ人です。よろしくお願いします。	初（はじ）めまして。私（わたし）はネコです。私（わたし）はタイ人（じん）です。よろしくお願（ねが）いします。	Rất hân hạnh được làm quen với bạn. Mình là Neko. Mình là người Thái Lan. Rất mong được bạn giúp đỡ.	1	Nhà của Cáo N5
36	初めまして。私はキツネです。私は日本人です。よろしくお願いします。	初（はじ）めまして。私（わたし）はキツネです。私（わたし）は日本人（にほんじん）です。よろしくお願（ねが）いします。	Rất hân hạnh được làm quen với bạn. Mình là Kitsune. Mình là người Nhật. Rất mong được bạn giúp đỡ.	1	Nhà của Cáo N5
