STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	原因	げんいん	Nguyên nhân	原因がわからないため、直すことができない。\nVì không hiểu nguyên nhân nên không thể sửa được.	15	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
2	食料品	しょくりょうひん	Thực phẩm	食料品の値段が上がっていく。\nGiá thực phẩm sẽ ngày càng tăng.	15	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
3	値段	ねだん	Giá cả	キツネさんは、野菜だけではなく、肉の値段も上がったと言いました。\nAnh Kitsune nói rằng không chỉ rau mà giá thịt cũng đã tăng lên.	15	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
4	来日	らいにち	Đến Nhật Bản	来日する外国人が増えてきた。\nNgười nước ngoài đến Nhật Bản đã tăng lên.	15	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
5	増加する	ぞうかする	Tăng lên	日本へ行く人が増加したために、飛行機のチケットが高くなった。\nVì số người đi Nhật tăng lên nên vé máy bay trở nên đắt đỏ.	15	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
6	問題	もんだい	Vấn đề	これは難しい問題なんだって。\nNghe nói đây là một vấn đề khó.	15	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
7	レコード	レコード	Đĩa than	イヌさんはレコードだけではなく、CDもたくさん持っています。\nAnh Inu không chỉ có đĩa than mà còn có rất nhiều CD.	15	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
8	貿易	ぼうえき	Thương mại	これから貿易の問題が減っていくと思う。\nTôi nghĩ từ giờ các vấn đề thương mại sẽ giảm đi.	15	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
9	事情	じじょう	Tình hình	事情が変わってきた。\nTình hình đã dần thay đổi.	15	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
10	温暖（な）	おんだん（な）	Ấm áp	温暖な気候のために、色々な花が咲いている。\nVì khí hậu ấm áp nên rất nhiều loài hoa đang nở.	15	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
