STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	裏	うら	Phía sau	ごみを朝９時までに店の裏に出せばいいよ。\nRác thì nên đem ra phía sau cửa hàng trước 9 giờ.	9	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
2	表	おもて	Mặt trước/Phía ngoài	いつもきれいにするために、店の表をちゃんと掃除するようにしてください。\nĐể luôn giữ sạch sẽ, hãy chú ý dọn dẹp thật kỹ phía trước cửa hàng.	9	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
3	紙	かみ	Giấy	メモが必要なら、この紙を使ってください。\nNếu cần ghi chú thì hãy dùng tờ giấy này nhé.	9	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
4	シフト	シフト	Ca làm việc	来月から、ネコさんは夜のシフトに入ることになりました。\nTừ tháng sau, anh Neko đã được quyết định là sẽ vào ca đêm.	9	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
5	スタッフ	スタッフ	Nhân viên	スタッフは仕事中にスマホを使わないことになっています。\nTheo quy định thì nhân viên không được dùng điện thoại trong giờ làm việc.	9	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
6	握手	あくしゅ	Bắt tay	私たちは本当に友達であれば、握手しましょう。\nNếu chúng ta thật sự là bạn thì hãy bắt tay thôi.	9	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
7	タイムカード	タイムカード	Thẻ chấm công	店に着いたら、すぐタイムカードを押すようにしてください。\nSau khi đến cửa hàng, hãy chú ý bấm thẻ chấm công ngay nhé.	9	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
8	ホール	ホール	Sảnh/Phòng ăn	キツネさんはホールで少々お待ちください。\nAnh Kitsune vui lòng đợi một chút ở sảnh ạ.	9	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
11	髪の毛	かみのけ	Tóc	料理に髪の毛が入らないように、帽子をかぶります。\nTôi đội mũ để tóc không rơi vào thức ăn.	9	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
12	スニーカー	スニーカー	Giầy thể thao	仕事では白いスニーカーを履くことになっています。\nQuy định là phải mang giày thể thao màu trắng khi làm việc.	9	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
13	隅	すみ	Góc	この荷物は邪魔にならないように、部屋の隅に置いておいてください。\nHãy cứ để hành lý này ở góc phòng để không gây cản trở nhé.	9	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
14	調理場	ちょうりば	Nhà bếp	調理場はいつも清潔にするようにしてください。\nHãy luôn chú ý giữ gìn vệ sinh khu vực nhà bếp.	9	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
15	伝票	でんぴょう	Hóa đơn/Phiếu thanh toán	今日の伝票はもう全部整理してしまいました。\nTôi đã sắp xếp xong toàn bộ hóa đơn của ngày hôm nay rồi.	9	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
16	道具	どうぐ	Dụng cụ	道具を使ったら、元の場所に戻しておいてください。\nSau khi dùng xong dụng cụ thì cứ để lại chỗ cũ nhé.	9	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
17	床	ゆか	Sàn nhà	床が濡れているので、滑りそうです。\nSàn nhà đang ướt nên có vẻ sắp trơn trượt đấy.	9	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
18	予定	よてい	Dự định/Kế hoạch	休みを取る予定があれば、１日前に連絡しなければならないことになっている。\nNếu có dự định nghỉ phép thì quy định là phải liên lạc trước 1 ngày.	9	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
19	空手	からて	Võ Karate	キツネさんはもう空手の練習を全部してしまいました。\nAnh Kitsune đã hoàn thành xong toàn bộ bài tập Karate rồi.	9	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
20	温度	おんど	Nhiệt độ	エアコンの温度を変える前に、店長に連絡することになっている。\nCó quy định là trước khi điều chỉnh nhiệt độ điều hòa thì cần liên lạc với cửa hàng trưởng.	9	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
