STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	ハプニング	ハプニング	Chuyện bất ngờ, sự cố	ハプニングが起きたのに、最後は無事だった。\nTuy có chuyện bất ngờ nhưng cuối cùng thì cũng ổn.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
2	無事	ぶじ	Bình an, vô sự, ổn thỏa	キツネさんたちは無事に着いたようです。\nHình như các anh Kitsune đã đến nơi an toàn rồi.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
3	おばあさん	おばあさん	Bà, cụ bà	あそこにいるおばあさんは、ネコさんのおばあさんみたいですね。\nCụ bà ở đằng kia trông giống bà của anh Neko nhỉ.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
4	おじいさん	おじいさん	Ông, cụ ông	おじいさんがこちらに歩いてくるところです。\nMột cụ ông đang đi bộ về phía này.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
5	赤ちゃん	あかちゃん	Em bé, trẻ sơ sinh	赤ちゃんに泣かれて、イヌさんは困っています。\nVì em bé khóc nên anh Inu đang rất bối rối.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
6	蚊	か	Con muỗi	ネコさんは蚊に刺されてしまいました。\nAnh Neko đã bị muỗi đốt mất rồi.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
7	係	かかり	Người phụ trách, quản lý	キツネさんはこのイベントの係のようです。\nHình như anh Kitsune là người phụ trách của sự kiện này.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
8	口紅	くちべに	Son môi	あの口紅はまるでチョコレートみたいですね。\nThỏi son môi kia nhìn giống hệt sô-cô-la nhỉ.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
9	誰か	だれか	Ai đó	あ、誰かが部屋に入っていくところです。\nÁ, có ai đó đang đi vào trong phòng kìa.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
10	泥棒	どろぼう	Kẻ trộm	泥棒は警察に捕まりました。\nKẻ trộm đã bị cảnh sát bắt rồi.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
11	～点	～てん	... Điểm	テストは100点だったのに、イヌさんは嬉しそうじゃないです。\nBài kiểm tra được 100 điểm mà sao trông anh Inu không vui vẻ gì cả.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
12	一点	いってん	1 Điểm	あと一点で合格だったのに、本当に残念です。\nChỉ thiếu 1 điểm nữa là đỗ rồi, thật là đáng tiếc quá.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
13	八点	はってん	8 Điểm	ネコさんのテストは八点だったようです。\nHình như bài kiểm tra của anh Neko được 8 điểm.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
14	十点	じゅってん	10 Điểm	漢字のテストは十点満点だそうです。\nNghe nói bài kiểm tra Kanji thang điểm tối đa là 10 điểm.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
15	シングル	シングル	Phòng đơn, đơn	キツネさんは今、ホテルのシングル部屋を予約しているところです。\nAnh Kitsune đang đặt phòng đơn ở khách sạn.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
16	ツイン	ツイン	Phòng đôi (2 giường đơn)	イヌさんはホテルのツイン部屋を予約したところです。\nAnh Inu vừa mới đặt phòng đôi ở khách sạn xong.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
17	フロント	フロント	Quầy lễ tân	ネコさんがフロントで話しているところです。\nAnh Neko đang nói chuyện ở quầy lễ tân.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
18	ところ	ところ	Nơi, chỗ, địa điểm	キツネさんが教えてくれたところは、とても綺麗だったのに。\nChỗ anh Kitsune chỉ rất đẹp, vậy mà...	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
19	アイスクリーム	アイスクリーム	Kem	アイスクリームを食べたのに、まだ喉が渇いています。\nVừa ăn kem xong mà tôi vẫn thấy khát nước.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
20	サンプル	サンプル	Hàng mẫu, mẫu thử	あそこに美味しそうなケーキのサンプルが置いてあります。まるで本物みたいですね。\nỞ đằng kia có đặt mẫu bánh kem nhìn ngon mắt ghê. Trông giống hệt bánh thật vậy.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
21	商品	しょうひん	Sản phẩm, hàng hóa	この商品はもうすぐ売り切れるところです。\nMặt hàng này sắp sửa cháy hàng đến nơi rồi.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
22	まんじゅう	まんじゅう	Bánh màn thầu, bánh bao ngọt	キツネさんは美味しそうにまんじゅうを食べていきました。\nAnh Kitsune vừa ăn bánh màn thầu ngon lành vừa đi khuất dần.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
23	ライブ	ライブ	Buổi biểu diễn trực tiếp, live show	楽しみにしていたライブなのに、中止になってしまいました。\nBuổi biểu diễn mà tôi mong đợi nhường ấy vậy mà lại bị hủy mất rồi.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
24	ロック	ロック	Nhạc rock	ネコさんはロックを聴いているところです。\nAnh Neko đang nghe nhạc rock.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
25	既成概念	きせいがいねん	Thành kiến, định kiến, khái niệm sẵn có	古い既成概念は、だんだん壊されていくようです。\nHình như những định kiến cũ kỹ đang dần bị phá vỡ.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
26	ばか(な)	ばか（な）	Ngu ngốc, ngớ ngẩn	ばかなことをしたのに、キツネさんは怒りませんでした。\nLàm một việc ngớ ngẩn như vậy mà anh Kitsune lại không hề tức giận.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
27	ブレーキ	ブレーキ	Phanh xe, thắng xe	危ない！イヌさんが急にブレーキを踏んだところです。\nNguy hiểm quá! Anh Inu vừa mới đạp phanh gấp xong.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
28	砂漠	さばく	Sa mạc	ここはまるで砂漠みたいに暑いですね。\nChỗ này nóng cứ như là sa mạc ấy nhỉ.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
29	実際	じっさい	Thực tế	実際のテストは、練習問題より簡単だったようです。\nHình như bài thi thực tế lại dễ hơn bài tập luyện tập.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
30	仕立てる	したてる	Xây dựng; Chế tạo; May vá (ra sản phẩm)	新しいスーツを仕立ててもらったのに、サイズが合いませんでした。\nĐược may cho bộ comple mới rồi mà mặc lại không vừa size.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
31	かむ	かむ	Cắn, nhai, gặm	イヌさんは犬に手をかまれてしまいました。\nAnh Inu đã bị chó cắn vào tay mất rồi.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
32	壊す	こわす	Làm hỏng, phá hỏng	ネコさんがパソコンを壊したのに、キツネさんは怒りませんでした。\nAnh Neko làm hỏng máy tính vậy mà anh Kitsune không hề tức giận.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
33	刺す	さす	Đâm, chích, đốt	キツネさんは山できれいな花を見ているところを、蜂に刺されました。\nAnh Kitsune đang lúc ngắm hoa đẹp trên núi thì bị ong đốt.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
34	誘う	さそう	Mời, rủ rê	イヌさんはネコさんに映画に誘われたようです。\nHình như anh Inu đã được anh Neko rủ đi xem phim.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
35	叱る	しかる	Mắng, la mắng	宿題を忘れたので、イヌさんは先生に叱られてしまいました。\nVì quên làm bài tập nên anh Inu đã bị thầy giáo mắng mất rồi.	10	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
