STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	（お）団子	（お）だんご	Bánh dango	キツネさんはネコさんにお団子を買ってあげました。\nAnh Kitsune đã mua bánh dango cho anh Neko.	8	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
2	肉じゃが	にくじゃが	Thịt kho khoai tây	イヌさんはネコさんに肉じゃがを作ってもらいました。\nAnh Inu đã được anh Neko nấu thịt kho khoai tây cho ăn.	8	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
3	湖	みずうみ	Hồ	キツネさんはイヌさんをきれいな湖へ連れて行ってあげました。\nAnh Kitsune đã dẫn anh Inu đến một cái hồ rất đẹp.	8	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
4	運転手	うんてんしゅ	Lái xe	運転手さんは私に道を教えてくれました。\nAnh lái xe đã chỉ đường giúp tôi.	8	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
5	駅員	えきいん	Nhân viên nhà ga	駅員さんはイヌさんに切符の買い方を教えてくれました。\nAnh nhân viên nhà ga đã chỉ cho anh Inu cách mua vé.	8	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
6	お巡りさん	おまわりさん	Cảnh sát	お巡りさんはキツネさんに道を教えてくれました。\nAnh cảnh sát đã chỉ đường cho anh Kitsune.	8	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
7	～さん	～さん	Anh/Chị/Ông/Bà...	イヌさんはネコさんにプレゼントをあげました。\nAnh Inu đã tặng quà cho anh Neko.	8	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
8	駅員さん	えきいんさん	Anh nhân viên nhà ga	駅員さんは私にカバンを届けてくれました。\nAnh nhân viên nhà ga đã gửi lại túi xách cho tôi.	8	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
9	送る	おくる	Gửi, tiễn, đưa đi	ネコさんはイヌさんを駅まで送ってあげました。\nAnh Neko đã tiễn anh Inu ra tận ga.	8	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
10	車でうちまで送ります。	くるまでうちまでおくります。	Đưa về nhà bằng xe ô tô	キツネさんはイヌさんを車でうちまで送ってあげました。\nAnh Kitsune đã chở anh Inu về tận nhà.	8	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
11	直す	なおす	Sửa chữa	イヌさんはネコさんに自転車を直してもらいました。\nAnh Inu đã được anh Neko sửa giúp chiếc xe đạp.	8	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
12	譲る	ゆずる	Nhường	キツネさんはおばあさんに席を譲ってあげました。\nAnh Kitsune đã nhường ghế cho bà cụ.	8	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
13	連れて行く	つれていく	Dẫn đi	イヌさんはネコさんを病院へ連れて行ってあげました。\nAnh Inu đã dẫn anh Neko đi bệnh viện.	8	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
14	拾う	ひろう	Nhặt	キツネさんはネコさんが落とした財布を拾ってあげました。\nAnh Kitsune đã nhặt giúp anh Neko chiếc ví bị rơi.	8	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
15	届ける	とどける	Giao đến, đưa đến	ネコさんはイヌさんに荷物を届けてあげました。\nAnh Neko đã mang hành lý đến cho anh Inu.	8	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
