STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	蟹	かに	Con cua	カニがおいしいし、北海道に行きましょうか。\nMón cua cũng ngon nữa, hay mình đi Hokkaido đi.	6	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
2	着物	きもの	Kimono	この着物はきれいだし、値段も安いですよ。\nBộ Kimono này vừa đẹp mà giá lại còn rẻ nữa.	6	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
3	ショッピングセンター	ショッピングセンター	Trung tâm thương mại	イヌさんが行ったのは新しいショッピングセンターだ。\nNơi anh Inu đã đi chính là trung tâm thương mại mới mở.	6	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
4	水族館	すいぞくかん	Thủy cung	明日は休みだし、水族館へ行きましょうか。\nMai là ngày nghỉ rồi, hay mình đi thủy cung nhé?	6	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
5	スノーボード	スノーボード	Trượt ván tuyết	雪が降りそうだし、スノーボードに行きましょうか。\nTrời có vẻ sắp có tuyết rồi, hay mình đi trượt ván tuyết đi?	6	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
6	船	ふね	Con thuyền, tàu thủy	船のチケットはもう予約しておきました。\nTớ đã đặt sẵn vé tàu thủy rồi nhé.	6	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
7	雰囲気	ふんいき	Bầu không khí	この街は雰囲気がいいし、静かですね。\nThành phố này không khí vừa tốt lại vừa yên tĩnh nhỉ.	6	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
8	街	まち	Con phố	ネコさんが住みたいのはにぎやかな街だ。\nNơi anh Neko muốn sống chính là một con phố nhộn nhịp.	6	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
9	こっち	こっち	Phía này, đằng này	こっちの道は近いし、こっちから帰りましょうか。\nĐường này gần hơn, hay mình đi về đường này đi?	6	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
10	そっち	そっち	Phía đó, đằng đó	そっちは危なそうだし、こっちに来てください。\nPhía đó trông có vẻ nguy hiểm, hãy qua bên này với tớ.	6	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
11	あっち	あっち	Phía kia, đằng kia	あっちの店は有名だし、一度行ってみましょうか。\nTiệm kia nổi tiếng lắm, hay mình đi thử xem sao?	6	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
12	どっち	どっち	Cái nào, phía nào	キツネさんが選んだのはどっちの料理ですか。\nMón mà anh Kitsune đã chọn là món nào vậy?	6	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
13	市内	しない	Nội thành, trong thành phố	市内のホテルを予約しておきました。\nTớ đã đặt sẵn khách sạn ở trong thành phố rồi.	6	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
14	最後	さいご	Cuối cùng	最後に食べるのはこのカニだ。\nMón cuối cùng chúng ta ăn chính là món cua này.	6	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
15	旅館	りょかん	Nhà trọ kiểu Nhật	この旅館は古いし、雰囲気もいいですね。\nNhà trọ này vừa cổ kính lại vừa có không khí dễ chịu nữa.	6	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
16	朝食	ちょうしょく	Bữa sáng	朝食はもう準備しておきました。\nTớ đã chuẩn bị sẵn bữa sáng rồi.	6	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
17	昼食	ちゅうしょく	Bữa trưa	昼食を食べたのはあのレストランだ。\nNơi chúng mình đã ăn trưa chính là nhà hàng đó.	6	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
18	夕食	ゆうしょく	Bữa tối	夕食はおいしそうだし、早く食べましょうか。\nBữa tối trông có vẻ ngon quá, hay mình ăn sớm luôn đi?	6	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
