STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	計画	けいかく	Kế hoạch	旅行の計画を立てたら、教えてください。\nSau khi lập kế hoạch đi du lịch xong thì hãy bảo tôi nhé.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
2	サークル	サークル	Câu lạc bộ	イヌさんはテニスサークルに入るつもりです。\nAnh Inu định tham gia câu lạc bộ tennis.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
3	説明会	せつめいかい	Buổi thuyết minh/giới thiệu	専門学校の説明会に行こうと思っています。\nTôi đang định đi đến buổi giới thiệu của trường chuyên môn.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
4	専門	せんもん	Chuyên môn	ネコさんは大学で何を専門にするか考えています。\nBạn Neko đang suy nghĩ xem sẽ chọn chuyên môn gì ở đại học.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
5	専門学校	せんもんがっこう	Trường chuyên môn	将来のために、専門学校で勉強するつもりです。\nTôi định sẽ học ở trường chuyên môn để chuẩn bị cho tương lai.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
6	見学会	けんがくかい	Buổi tham quan học tập	見学会が終わったら、みんなで食事をしませんか。\nSau khi buổi tham quan kết thúc, mọi người cùng đi ăn nhé?	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
7	学部	がくぶ	Khoa (đại học)	どの学部を選ぶか、まだ決めていません。\nTôi vẫn chưa quyết định xem sẽ chọn khoa nào.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
8	経済	けいざい	Kinh tế	キツネさんは経済を勉強するために、日本へ来ました。\nAnh Kitsune đến Nhật để học về kinh tế.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
9	法律	ほうりつ	Pháp luật	法律を勉強しようと思っています。\nTôi đang định sẽ học về pháp luật.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
10	カナダ	カナダ	Canada	大学を卒業したら、カナダへ行くつもりです。\nSau khi tốt nghiệp đại học, tôi định sẽ đi Canada.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
11	聴解	ちょうかい	Nghe hiểu	聴解の練習をするために、毎日CDを聞いています。\nTôi nghe CD mỗi ngày để luyện nghe hiểu.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
12	アクセサリー	アクセサリー	Phụ kiện/Trang sức	自分のアクセサリーを作るつもりです。\nTôi định sẽ tự làm đồ trang sức cho mình.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
13	一生懸命	いっしょうけんめい	Hết sức/Chăm chỉ	試験に合格するために、一生懸命勉強します。\nTôi sẽ học hành thật chăm chỉ để thi đỗ.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
14	答え	こたえ	Câu trả lời	答えが正しいかどうか、先生に聞こうと思います。\nTôi định hỏi thầy giáo xem câu trả lời có đúng hay không.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
15	将来	しょうらい	Tương lai	将来、通訳になるために日本語を勉強しています。\nTôi đang học tiếng Nhật để sau này trở thành thông dịch viên.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
16	ビジネス	ビジネス	Kinh doanh	日本でビジネスを勉強しようと思っています。\nTôi đang định học kinh doanh ở Nhật.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
17	能力	のうりょく	Năng lực	自分の能力を試すために、難しい試験を受けます。\nTôi sẽ đi thi một kỳ thi khó để thử năng lực của bản thân.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
18	試験	しけん	Kỳ thi	試験が終わったら、国へ帰るつもりです。\nSau khi kỳ thi kết thúc, tôi định sẽ về nước.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
19	日本語能力試験	にほんごのうりょくしけん	Kỳ thi năng lực tiếng Nhật	日本語能力試験を受けるつもりです。\nTôi định sẽ tham gia kỳ thi năng lực tiếng Nhật.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
20	間違い	まちがい	Lỗi sai	間違いがないかどうか、もう一度調べます。\nTôi sẽ kiểm tra lại một lần nữa xem có lỗi sai nào không.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
21	寮	りょう	Ký túc xá	寮に帰ったら、すぐ宿題をします。\nSau khi về đến ký túc xá, tôi sẽ làm bài tập ngay.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
22	目標	もくひょう	Mục tiêu	目標を決めるために、先生と相談しようと思っています。\nTôi định sẽ thảo luận với thầy giáo để quyết định mục tiêu.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
23	～料	～りょう	Phí ~	入学料を払ったら、この書類を出してください。\nSau khi nộp phí nhập học xong thì hãy nộp giấy tờ này nhé.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
24	授業	じゅぎょう	Giờ học	授業が終わったら、図書館へ行こうと思っています。\nSau khi giờ học kết thúc, tôi định sẽ đi đến thư viện.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
25	授業料	じゅぎょうりょう	Học phí	授業料を払うために、アルバイトをしています。\nTôi đang làm thêm để lấy tiền đóng học phí.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
26	翻訳する	ほんやくする	Dịch (viết)	この本をベトナム語に翻訳しようと思っています。\nTôi đang định dịch cuốn sách này sang tiếng Việt.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
27	調べる	しらべる	Tìm hiểu/Điều tra	辞書で意味を調べたら、ノートに書いてください。\nSau khi tra nghĩa bằng từ điển xong thì hãy viết vào vở nhé.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
28	見学する	けんがくする	Tham quan học tập	明日、工場を見学するつもりです。\nNgày mai tôi định sẽ đi tham quan nhà máy.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
29	相談する	そうだんする	Thảo luận/Bàn bạc	進路について、ネコさんに相談しようと思っています。\nTôi định sẽ bàn bạc với bạn Neko về con đường tương lai.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
30	貯金する	ちょきんする	Tiết kiệm tiền	車を買うために、貯金するつもりです。\nTôi định tiết kiệm tiền để mua ô tô.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
31	留学する	りゅうがくする	Du học	大学を卒業したら、日本に留学するつもりです。\nSau khi tốt nghiệp đại học, tôi định sẽ đi du học Nhật Bản.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
32	開く	ひらく	Mở (tiệm/sự kiện)	お金が貯まったら、店を開こうと思っています。\nSau khi tiết kiệm đủ tiền, tôi định sẽ mở cửa hàng.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
33	自分の店を開きます。	じぶんのみせをひらきます。	Mở cửa hàng riêng.	将来、自分の店を開くために頑張ります。\nTôi sẽ cố gắng để sau này mở cửa hàng của riêng mình.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
34	続ける	つづける	Tiếp tục	仕事が大変でも、続けるつもりです。\nDù công việc có vất vả, tôi vẫn định sẽ tiếp tục.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
35	やめる	やめる	Bỏ/Nghỉ	会社をやめたら、何をしようと思っていますか。\nSau khi nghỉ việc công ty, bạn định sẽ làm gì?	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
36	受ける	うける	Thi/Tiếp nhận	JLPTを受けるつもりはないんですか。\nBạn không định thi JLPT à?	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
37	案内する	あんないする	Hướng dẫn	イヌさんが京都を案内してくれるつもりです。\nAnh Inu định sẽ dẫn tôi đi tham quan Kyoto.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
38	進学する	しんがくする	Học lên cao	大学に進学するかどうか、まだ決めていません。\nTôi vẫn chưa quyết định có học lên đại học hay không.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
39	通学する	つうがくする	Đi học (quá trình đi lại)	バスで通学するために、定期券を買いました。\nTôi đã mua vé tháng để đi học bằng xe buýt.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
40	選ぶ	えらぶ	Chọn	どちらの道を選ぶか、自分で決めようと思います。\nTôi định sẽ tự mình quyết định xem nên chọn con đường nào.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
41	迷う	まよう	Lúng túng, phân vân	日本へ行くかどうか迷っています。\nTôi đang phân vân không biết có nên đi Nhật hay không.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
42	考える	かんがえる	Suy nghĩ	卒業したら何をしたいか、よく考えようと思います。\nSau khi tốt nghiệp, tôi định sẽ suy nghĩ kỹ xem mình muốn làm gì.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
43	決める	きめる	Quyết định	どの大学に入るか、もう決めましたか。\nBạn đã quyết định vào trường đại học nào chưa?	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
44	合格する	ごうかくする	Đỗ, thi đậu	N4に合格するために、毎日勉強しています。\nTôi đang học mỗi ngày để thi đỗ N4.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
45	専攻する	せんこうする	Chuyên ngành	大学で経済を専攻するつもりです。\nTôi định sẽ học chuyên ngành kinh tế ở đại học.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
46	悩む	なやむ	Trăn trở, lo nghĩ	ネコさんは、将来何になるか悩んでいます。\nBạn Mèo đang lo nghĩ không biết tương lai sẽ làm gì.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
47	就職する	しゅうしょくする	Kiếm việc, đi làm	卒業したら、日本の会社に就職するつもりです。\nSau khi tốt nghiệp, tôi định sẽ đi làm ở một công ty Nhật.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
48	確認する	かくにんする	Xác nhận	正しいかどうか、もう一度確認してください。\nHãy xác nhận lại một lần nữa xem có đúng hay không.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
49	正しい	ただしい	Đúng	答えが正しいかどうか、先生に聞こうと思います。\nTôi định hỏi thầy giáo xem câu trả lời có đúng hay không.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
50	向かう	むかう	Hướng về	イヌさんは今、事務所に向かっています。\nBạn Chó hiện đang hướng về phía văn phòng.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
51	建築家	けんちくか	Kiến trúc sư	建築家になるために、大学で勉強しています。\nTôi đang học đại học để trở thành kiến trúc sư.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
52	デザイナー	デザイナー	Nhà thiết kế	デザイナーになりたいかどうか、よく考えようと思います。\nTôi định sẽ suy nghĩ kỹ xem mình có thực sự muốn làm nhà thiết kế không.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
53	夢	ゆめ	Ước mơ	私の夢のために、一生懸命頑張ります。\nTôi sẽ cố gắng hết sức vì ước mơ của mình.	3	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
