STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	親	おや	Bố mẹ	子どもの頃、私はいつも親に嫌いな野菜を全部食べさせられました。\nHồi bé, tôi toàn bị bố mẹ bắt ăn hết loại rau mà tôi ghét.	13	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
2	父親	ちちおや	Bố (của mình)	キツネさんの父親は厳しい人で、毎日キツネさんに勉強をさせました。\nBố của anh Kitsune là một người nghiêm khắc, ngày nào cũng bắt anh ấy phải học bài.	13	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
3	母親	ははおや	Mẹ (của mình)	ネコさんの母親は、毎日掃除ばかりしています。\nMẹ của anh Neko suốt ngày chỉ toàn lo dọn dẹp nhà cửa thôi.	13	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
4	子ども	こども	Trẻ con	公園には子どもばかりいます。\nỞ công viên toàn là trẻ con thôi.	13	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
5	家事	かじ	Việc nhà	イヌさんはお母さんに家事を手伝わされました。\nAnh Inu bị mẹ bắt phải giúp việc nhà.	13	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
6	コーチ	コーチ	Huấn luyện viên	コーチは選手たちを5キロ走らせました。\nHuấn luyện viên đã bắt các tuyển thủ phải chạy bộ 5 cây số.	13	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
7	塾	じゅく	Trường học thêm	子どもの頃、親に塾へ行かされました。\nHồi còn nhỏ, tôi bị bố mẹ bắt phải đi học thêm.	13	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
8	ゲームセンター	ゲームセンター	Trung tâm game	キツネさんは仕事もしないで、ゲームセンターに行ってばかりいます。\nAnh Kitsune chẳng chịu làm việc gì cả, suốt ngày chỉ toàn đi trung tâm game thôi.	13	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
9	ころ	ころ	Khi/Khoảng thời gian	子どものころ、よく弟を泣かせました。\nHồi còn nhỏ, tôi thường hay làm cho em trai mình khóc.	13	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
10	～キロ	～キロ	Kilôgam / Kilômét	毎日3キロずつ走らされています。\nMỗi ngày tôi đều bị bắt phải chạy bộ 3 cây số.	13	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
11	～ずつ	～ずつ	Từng/Mỗi	このお菓子は一人一個ずつ食べさせてください。\nHãy cho phép mỗi người được ăn một cái bánh này.	13	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
