STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	女の子	おんなのこ	Bé gái	ひなまつりというのは、女の子の成長を祝う日ですよ。\nLễ hội búp bê Nhật Bản là ngày cầu chúc cho sự trưởng thành của các bé gái.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
2	おせち料理	おせちりょうり	Món ăn Tết	おせち料理というのは、お正月に食べる特別な料理のことです。\nMón ăn Osechi là những món ăn đặc biệt ăn vào dịp Tết.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
3	行事	ぎょうじ	Sự kiện	日本には七五三のような行事がたくさんあります。\nỞ Nhật có rất nhiều sự kiện giống như lễ hội Shichigosan.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
4	敬老の日	けいろうのひ	Ngày kính lão	敬老の日に何を贈ろうかな。\nNên tặng gì vào ngày kính lão đây ta.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
5	（お）正月	（お）しょうがつ	Tết	お正月には、おせち料理なんかを食べます。\nVào ngày Tết, người ta sẽ ăn những thứ như món Osechi.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
6	七五三	しちごさん	Lễ hội Shichigosan	七五三って何ですか。\nShichigosan là gì vậy?	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
7	新年	しんねん	Năm mới	キツネさんは新年のお祝いに新しい服を欲しがっています。\nAnh Kitsune đang muốn có quần áo mới để mừng năm mới.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
8	成人式	せいじんしき	Lễ trưởng thành	成人式というのは、２０歳になった人を祝う行事です。\nLễ trưởng thành là sự kiện chúc mừng những người tròn 20 tuổi.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
9	節分	せつぶん	Lễ hội Setsubun	節分には豆をまくといいと言われています。\nNgười ta nói là vào ngày lễ Setsubun thì nên rắc đậu.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
10	ひなまつり	ひなまつり	Lễ hội búp bê	ネコさんはひなまつりの行事に行かないかな。\nKhông biết anh Neko có đi lễ hội búp bê không ta.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
11	（お）赤飯	（お）せきはん	Xôi đỏ	お祝いの時には、お赤飯のような特別なご飯を食べます。\nVào những dịp chúc mừng, người ta thường ăn món cơm đặc biệt như xôi đỏ.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
12	布	ぬの	Vải	この布でカバンを作ろうかな。\nHay là mình dùng tấm vải này may túi ta.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
13	年賀状	ねんがじょう	Thiệp chúc Tết	イヌさんは年賀状をもらって、とても嬉しがっています。\nAnh Inu đang tỏ ra rất vui vì nhận được thiệp chúc Tết.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
14	はがき	はがき	Bưu thiếp	はがきっていうのは、手紙のようなものです。\nBưu thiếp là một thứ giống như bức thư.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
15	ふろしき	ふろしき	Khăn gói đồ	ふろしきというのは、物を包む布のことです。\nFuroshiki là tấm vải dùng để gói đồ.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
16	ランドセル	ランドセル	Cặp sách	ランドセルって、高いですか。\nCặp sách Randoseru có đắt không?	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
17	鰻	うなぎ	Lươn	夏バテの時には、うなぎなんかを食べるといいですよ。\nKhi bị mệt mỏi mùa hè thì nên ăn những thứ như lươn đấy.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
18	大晦日	おおみそか	Đêm giao thừa	大みそかにそばを食べると長生きすると言われている。\nNgười ta nói rằng ăn mì soba vào đêm giao thừa sẽ sống lâu.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
19	数	かず	Số lượng	日本語の漢字の数って、多いですね。\nSố lượng chữ Hán trong tiếng Nhật nhiều nhỉ.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
20	（お）金持ち	（お）かねもち	Người giàu có	何でも買えるのは、キツネさんがお金持ちだからだ。\nCó thể mua mọi thứ là vì anh Kitsune là người giàu có.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
21	西瓜	すいか	Dưa hấu	夏はすいかのような果物がおいしいです。\nMùa hè thì những loại trái cây như dưa hấu rất ngon.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
22	ブルーベリー	ブルーベリー	Quả việt quất	目にいいから、ブルーベリーを食べようかな。\nVì tốt cho mắt nên chắc tôi sẽ ăn quả việt quất.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
23	蜜柑	みかん	Quả quýt	イヌさんは冬にみかんを食べるのを嫌がります。\nAnh Inu ghét việc ăn quýt vào mùa đông.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
24	豆	まめ	Hạt đậu	節分には豆なんかをまきます。\nVào ngày lễ Setsubun, người ta rắc những thứ như đậu.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
25	柚子	ゆず	Quả yuzu	冬至には、お風呂に柚子を入れると言われています。\nNgười ta nói là vào ngày đông chí sẽ cho quả yuzu vào bồn tắm.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
26	冬至	とうじ	Ngày đông chí	冬至っていうのは、一年で夜が一番長い日のことです。\nĐông chí là ngày có đêm dài nhất trong năm.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
27	年	とし	Năm / Tuổi	キツネさんはネコさんより年が上かな。\nKhông biết anh Kitsune có lớn tuổi hơn anh Neko không ta.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
28	土用の丑の日	どようのうしのひ	Ngày Doyou no Ushi	土用の丑の日にうなぎを食べるのは、夏バテしないためだからだ。\nViệc ăn lươn vào ngày Doyou no Ushi là vì để không bị mệt mỏi mùa hè.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
29	招き猫	まねきねこ	Mèo thần tài	ネコさんはお店に招き猫を飾りたがっています。\nAnh Neko đang muốn trang trí con mèo thần tài trong quán.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
30	遊び	あそび	Trò chơi	子供たちはどんな遊びが好きかな。\nKhông biết bọn trẻ thích những trò chơi gì ta.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
31	お盆	おぼん	Lễ Obon	お盆というのは、先祖が家に帰ってくる行事です。\nLễ Obon là sự kiện mà tổ tiên quay trở về nhà.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
32	空手	からて	Võ Karate	空手って、難しいですか。\nVõ Karate có khó không?	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
33	餃子	ぎょうざ	Bánh há cảo	今日の晩ご飯は餃子にしようかな。\nChắc bữa tối nay tôi chọn món há cảo quá.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
34	ごちそう	ごちそう	Bữa ăn ngon	お正月にはおせち料理のようなごちそうを食べます。\nVào dịp Tết, người ta ăn những bữa tiệc ngon giống như món Osechi.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
35	シチュー	シチュー	Món thịt hầm	イヌさんは温かいシチューを食べたがっています。\nAnh Inu đang muốn ăn món thịt hầm nóng hổi.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
36	将棋	しょうぎ	Cờ tướng Nhật	将棋はチェスのようなゲームだ。\nShogi là một trò chơi giống như cờ vua.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
37	先祖	せんぞ	Tổ tiên	お盆っていうのは、先祖をむかえる行事です。\nObon là sự kiện chào đón tổ tiên.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
38	チェス	チェス	Cờ vua	イヌさんとチェスなんかをして遊びませんか。\nBạn có muốn chơi những trò như cờ vua với anh Inu không?	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
39	テコンドー	テコンドー	Võ Taekwondo	キツネさんはテコンドーを習おうかなと言っていました。\nAnh Kitsune đã nói là "Hay là mình học võ Taekwondo ta".	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
40	焼き鳥	やきとり	Thịt gà nướng	日本人はビールと一緒に焼き鳥を食べるのが好きだと言われています。\nNgười ta nói là người Nhật thích ăn gà nướng xiên cùng với bia.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
41	大勢	おおぜい	Nhiều người	ネコさんの家に大勢の人が来るのは、パーティーがあるからだ。\nNhiều người đến nhà anh Neko là vì có một bữa tiệc.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
42	南瓜	かぼちゃ	Bí đỏ	冬至にはかぼちゃのような野菜を食べます。\nVào ngày đông chí, người ta ăn những loại rau củ như bí đỏ.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
43	山車	だし	Xe rước lễ hội	お祭りの時に山車に乗れるかな。\nKhông biết có thể lên xe rước lúc lễ hội không ta.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
44	～型	～がた	Nhóm ~ / Kiểu ~	イヌさんの血液型って、何型ですか。\nNhóm máu của anh Inu là nhóm gì vậy?	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
45	～県	～けん	Tỉnh ~	私は青森県のような寒い所に住むのを嫌がります。\nTôi ghét sống ở những nơi lạnh lẽo giống như tỉnh Aomori.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
46	祈る	いのる	Cầu nguyện	七五三というのは子供の健康を祈る行事です。\nShichigosan là sự kiện cầu nguyện cho sức khỏe của trẻ em.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
47	包む	つつむ	Gói / Bọc	プレゼントはきれいな紙なんかで包んでください。\nHãy gói quà bằng thứ gì đó như một tờ giấy đẹp nhé.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
48	お祝いする	おいわいする	Chúc mừng	新年のお祝いに、キツネさんに何をあげようかな。\nNhân dịp chúc mừng năm mới, không biết nên tặng gì cho anh Kitsune ta.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
49	成長する	せいちょうする	Trưởng thành	ひなまつりって、女の子が成長するのを祝う日です。\nLễ hội búp bê là ngày chúc mừng các bé gái trưởng thành.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
50	感謝する	かんしゃする	Cảm tạ	母の日は、お母さんに感謝する日だと言われています。\nNgười ta nói Ngày của Mẹ là ngày để cảm tạ mẹ.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
51	飾る	かざる	Trang trí	イヌさんは部屋に花を飾りたがっています。\nAnh Inu đang muốn trang trí hoa trong phòng.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
52	長生きする	ながいきする	Sống lâu	おじいちゃんにもっと長生きしてほしいかな。\nCó lẽ tôi muốn ông sống lâu hơn nữa.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
53	夏バテする	なつバテする	Bị mệt mỏi mùa hè	イヌさんが夏バテしたのは、野菜を食べないからだ。\nAnh Inu bị mệt mỏi mùa hè là vì không ăn rau.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
54	踊る	おどる	Nhảy múa	お盆には盆踊りっていうダンスを踊ります。\nVào lễ Obon, người ta sẽ múa điệu múa gọi là Bon-odori.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
55	贈り物	おくりもの	Món quà	贈り物なら、花なんかがいいと思いますよ。\nNếu là quà tặng thì tôi nghĩ những thứ như hoa là được đấy.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
56	習慣	しゅうかん	Tập quán	日本にはお正月に神社へ行く習慣があると言われている。\nNgười ta nói ở Nhật có tập quán đi đền thờ vào ngày Tết.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
57	おもちゃ	おもちゃ	Đồ chơi	子供におもちゃのようなものをあげようかな。\nHay là tôi tặng cho bọn trẻ những thứ giống như đồ chơi ta.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
58	彼女	かのじょ	Cô ấy / Bạn gái	彼女って、とても親切な人ですね。\nCô ấy là một người rất tốt bụng nhỉ.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
59	彼	かれ	Anh ấy / Bạn trai	彼はネコさんのようなデザイナーになりたがっています。\nAnh ấy đang muốn trở thành một nhà thiết kế giống như anh Neko.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
60	みんな	みんな	Mọi người	クラスのみんなでパーティーをしようかな。\nHay là mở tiệc với mọi người trong lớp ta.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
61	置物	おきもの	Đồ trang trí	招き猫というのは、猫の形をした置物のことです。\nMèo thần tài là một loại đồ trang trí có hình con mèo.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
62	火事	かじ	Hỏa hoạn	火事のような怖い事故には気を付けてください。\nHãy cẩn thận với những tai nạn đáng sợ như hỏa hoạn.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
63	亀	かめ	Con rùa	亀は長生きする動物だと言われている。\nNgười ta nói rùa là loài động vật sống lâu.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
64	菊	きく	Hoa cúc	お葬式には、菊なんかの花を飾ります。\nTrong đám tang, người ta trang trí những loại hoa như hoa cúc.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
65	くし	くし	Cái lược	人にくしをあげてはいけないのは、悪い言葉と同じ発音だからだ。\nKhông được tặng lược cho người khác là vì nó có cùng phát âm với từ mang nghĩa xấu.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
66	五円玉	ごえんだま	Đồng 5 yên	五円玉って、縁起がいいですね。\nĐồng 5 yên thì mang lại điềm lành nhỉ.	14	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
