STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	方	かた	Người (tôn kính ngữ của 人)	あ、アルバイト希望の方ですね。\nÀ, anh là người mong nhận việc làm thêm nhỉ?	1	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
2	者	もの	Người (khiêm nhường hoặc chung chung)	私はキツネと申す者です。\nTôi là người tên là Kitsune.	1	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
3	チラシ	チラシ	Tờ rơi	チラシを読んだので、場所が分かりました。\nVì đã đọc tờ rơi nên tôi biết địa điểm ở đâu.	1	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
4	ホームページ	ホームページ	Trang web	ホームページなら、スマホで見られますよ。\nNếu là trang web thì có thể xem bằng điện thoại đấy.	1	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
5	学生証	がくせいしょう	Thẻ sinh viên	学生証がないと、入れないことがあります。\nNếu không có thẻ sinh viên thì đôi khi không vào được đâu.	1	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
6	資格	しかく	"Bằng cấp	 chứng chỉ"	資格があるので、この仕事ができます。\nVì có bằng cấp nên tôi có thể làm công việc này.	1	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
7	活動	かつどう	Hoạt động	イヌさんはボランティア活動に参加しています。\nAnh Inu đang tham gia các hoạt động tình nguyện.	1	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
8	許可	きょか	Sự cho phép	先生に許可をもらったので、帰ってもいいです。\nVì đã được thầy cho phép nên tôi có thể về rồi.	1	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
9	資格外活動許可書	しかくがいかつどうきょかしょ	Giấy phép hoạt động ngoài tư cách lưu trú	バイトをするなら、この許可書が必要です。\nNếu làm thêm thì cần phải có giấy phép này.	1	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
10	面接	めんせつ	Phỏng vấn	漢字が読めるようになったので、面接も大丈夫です。\nVì đã đọc được chữ Hán rồi nên đi phỏng vấn cũng không sao.	1	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
11	履歴書	りれきしょ	Sơ yếu lý lịch	履歴書なら、コンビニで買えますよ。\nNếu là sơ yếu lý lịch thì có thể mua ở cửa hàng tiện lợi đấy.	1	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
12	半年	はんとし	Nửa năm	日本に来て半年なので、まだ日本語が下手です。\nVì mới đến Nhật nửa năm nên tiếng Nhật của tôi vẫn còn kém.	1	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
13	（お）刺身	（お）さしみ	Món cá sống (Sashimi)	ネコさんは刺身が食べられるようになりました。\nMèo đã có thể ăn được món Sashimi rồi.	1	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
14	日常会話	にちじょうかいわ	Hội thoại hàng ngày	日常会話なら、問題ありません。\nNếu là hội thoại hàng ngày thì không vấn đề gì.	1	できる日本語初中級 - Dekiru Nihongo Sơ Trung Cấp
