STT	Câu tiếng Nhật	Câu tiếng Nhật đồng nghĩa	Câu tiếng Việt	Unit	Giáo trình
1	42才	42才	42 tuổi	3	Nhà của Cáo N5
2	59才	59才	59 tuổi	3	Nhà của Cáo N5
3	35才	35才	35 tuổi	3	Nhà của Cáo N5
4	45才	45才	45 tuổi	3	Nhà của Cáo N5
5	53才	53才	53 tuổi	3	Nhà của Cáo N5
6	57才	57才	57 tuổi	3	Nhà của Cáo N5
7	68才	68才	68 tuổi	3	Nhà của Cáo N5
8	46才	46才	46 tuổi	3	Nhà của Cáo N5
9	86才	86才	86 tuổi	3	Nhà của Cáo N5
10	87才	87才	87 tuổi	3	Nhà của Cáo N5
11	26才	26才	26 tuổi	3	Nhà của Cáo N5
12	32才	32才	32 tuổi	3	Nhà của Cáo N5
13	88才	88才	88 tuổi	3	Nhà của Cáo N5
14	23才	23才	23 tuổi	3	Nhà của Cáo N5
15	80才	80才	80 tuổi	3	Nhà của Cáo N5
16	69才	69才	69 tuổi	3	Nhà của Cáo N5
17	21才	21才	21 tuổi	3	Nhà của Cáo N5
18	72才	72才	72 tuổi	3	Nhà của Cáo N5
19	44才	44才	44 tuổi	3	Nhà của Cáo N5
20	81才	81才	81 tuổi	3	Nhà của Cáo N5
21	58才	58才	58 tuổi	3	Nhà của Cáo N5
22	33才	33才	33 tuổi	3	Nhà của Cáo N5
23	90才	90才	90 tuổi	3	Nhà của Cáo N5
24	48才	48才	48 tuổi	3	Nhà của Cáo N5
25	20才	20才	20 tuổi	3	Nhà của Cáo N5
26	47才	47才	47 tuổi	3	Nhà của Cáo N5
27	50才	50才	50 tuổi	3	Nhà của Cáo N5
28	34才	34才	34 tuổi	3	Nhà của Cáo N5
29	55才	55才	55 tuổi	3	Nhà của Cáo N5
30	66才	66才	66 tuổi	3	Nhà của Cáo N5
31	777円	777円	777 yên	3	Nhà của Cáo N5
32	697円	697円	697 yên	3	Nhà của Cáo N5
33	159円	159円	159 yên	3	Nhà của Cáo N5
34	244円	244円	244 yên	3	Nhà của Cáo N5
35	658円	658円	658 yên	3	Nhà của Cáo N5
36	870円	870円	870 yên	3	Nhà của Cáo N5
37	143円	143円	143 yên	3	Nhà của Cáo N5
38	657円	657円	657 yên	3	Nhà của Cáo N5
39	553円	553円	553 yên	3	Nhà của Cáo N5
40	592円	592円	592 yên	3	Nhà của Cáo N5
41	9631円	9631円	9631 yên	3	Nhà của Cáo N5
42	8029円	8029円	8029 yên	3	Nhà của Cáo N5
43	2094円	2094円	2094 yên	3	Nhà của Cáo N5
44	2720円	2720円	2720 yên	3	Nhà của Cáo N5
45	9637円	9637円	9637 yên	3	Nhà của Cáo N5
46	6515円	6515円	6515 yên	3	Nhà của Cáo N5
47	5088円	5088円	5088 yên	3	Nhà của Cáo N5
48	9451円	9451円	9451 yên	3	Nhà của Cáo N5
49	4144円	4144円	4144 yên	3	Nhà của Cáo N5
50	5238円	5238円	5238 yên	3	Nhà của Cáo N5
51	5799円	5799円	5799 yên	3	Nhà của Cáo N5
52	6174円	6174円	6174 yên	3	Nhà của Cáo N5
53	1363円	1363円	1363 yên	3	Nhà của Cáo N5
