STT	Chữ Hán	Cách đọc	Ý nghĩa	Ví dụ	Unit	Tên Giáo Trình
1	かけがえのない	かけがえのない	Không thể thay thế, vô cùng quý báu	イヌさんにとって、家族の健康は、何物にも代えがたい、かけがえのないものです。家族の健康あっての幸せだと痛感しています。\nĐối với anh Inu, sức khỏe gia đình là thứ quý báu nhất không gì thay thế được. Hạnh phúc chỉ có được nếu gia đình có sức khỏe.	2	Hajimete N1
2	気が置けない	きがおけない	Thân thiết, không cần câu nệ, không cần khách sáo	ネコさんは、どんなに偉い立場の人といえども、気が置けない友人として接する。\nDù đối phương có là người chức cao vọng trọng đến đâu, anh Neko vẫn đối xử như một người bạn thân tình không chút khách sáo.	2	Hajimete N1
3	気安い	きやすい	Thoải mái, dễ gần, suồng sã	キツネさんは誰にでも気安く話しかけるが、時に礼儀を欠くきらいがあります。\nAnh Kitsune bắt chuyện với ai cũng rất thoải mái, nhưng có xu hướng thiếu lễ phép trong vài trường hợp.	2	Hajimete N1
4	気心	きごころ	Tính tình, khí chất	長年一緒に働いているイヌさんの気心を知っているからこそ、互いの信頼をもってこの難局を乗り越えたい。\nTôi muốn vượt qua giai đoạn khó khăn này bằng việc thấu hiểu tính khí của anh Inu, người đã làm việc cùng tôi nhiều năm.	2	Hajimete N1
5	気心が知れる	きごころがしれる	Hiểu rõ tính tình	気心が知れたネコさんとだからこそ、あえて厳しい意見を言う次第だ。\nChính vì đã quá hiểu tính nết anh Neko nên tôi mới phải mạnh dạn đưa ra ý kiến khắt khe như vậy.	2	Hajimete N1
6	打ち明ける	うちあける	Thú nhận, nói thẳng, tâm sự (điều thầm kín)	キツネさんは親友のイヌさんにさえ、秘密を打ち明けることを拒んでやまない。\nAnh Kitsune vẫn luôn khăng khăng từ chối tâm sự bí mật ngay cả với người bạn thân là anh Inu.	2	Hajimete N1
7	打ち明け話	うちあけばなし	Lời tâm sự, câu chuyện thầm kín được kể ra	ネコさんの切実な打ち明け話を聞き、イヌさんは同情せずにはいられない次第だ。\nNghe lời tâm sự chân thành của anh Neko, anh Inu không thể không cảm thấy đồng cảm.	2	Hajimete N1
8	察する	さっする	Cảm nhận, đoán được, đồng cảm	相手の気持ちを察するに当たっては、キツネさんは他の誰よりも優れています。\nKhi nói đến việc thấu cảm cảm xúc của người khác, anh Kitsune xuất sắc hơn bất cứ ai.	2	Hajimete N1
9	同い年	おないどし	Bằng tuổi, cùng tuổi	同い年といえども、イヌさんの落ち着きぶりには驚かされるばかりだ。\nDù bằng tuổi nhau nhưng tôi vẫn luôn ngạc nhiên trước sự điềm tĩnh của anh Inu.	2	Hajimete N1
10	連中	れんちゅう	Nhóm (thường là thân thiết, bạn bè)	ネコさんら、あの連中あっての楽しい学生時代だったと、今でも感謝してやまない。\nTôi luôn vô cùng biết ơn vì nhờ có nhóm của anh Neko mà tôi đã có một thời sinh viên thật vui vẻ.	2	Hajimete N1
11	連中	れんちゅう	Bọn chúng (thường là không ưa, mang ý tiêu cực)	あんな失礼な連中には、1秒たりとも時間は割きたくない。\nVới cái lũ bất lịch sự đó, tôi không muốn lãng phí dù chỉ một giây.	2	Hajimete N1
12	呼び捨て	よびすて	Gọi trống không (gọi tên không kèm "san", "kun"...)	キツネさんは初対面の相手を呼び捨てにするきらいがあります。\nAnh Kitsune có thói quen xấu là hay gọi trống không cả với những người mới gặp lần đầu.	2	Hajimete N1
13	身の上	みのうえ	Thân thế, đời tư, hoàn cảnh cá nhân	イヌさんは身の上の不運を嘆くきらいがあるが、努力は怠らない。\nAnh Inu có xu hướng hay than vãn về số phận mình, nhưng anh ấy chưa bao giờ lơ là việc nỗ lực.	2	Hajimete N1
14	身の上話	みのうえばなし	Chuyện đời tư, chuyện về bản thân	ネコさんの悲しい身の上話を聞いて、涙を流さずにはいられない次第だ。\nNghe chuyện đời tư đau thương của anh Neko, tôi không cầm được nước mắt.	2	Hajimete N1
15	身の上相談	みのうえそうだん	Việc tâm sự, xin lời khuyên về chuyện đời tư	キツネさんに身の上相談をしたが、解決には一歩たりとも至らなかった。\nTôi đã tâm sự chuyện riêng với anh Kitsune nhưng chẳng giải quyết được tí ti gì cả.	2	Hajimete N1
16	徹する	てっする	Cống hiến hết mình, chuyên tâm, giữ vững (quan điểm, vai trò)	イヌさんは聞き役に徹するをもって、周囲からの信頼を勝ち得ている。\nAnh Inu nhận được sự tin tưởng từ mọi người xung quanh nhờ việc luôn chuyên tâm lắng nghe.	2	Hajimete N1
17	踏みにじる	ふみにじる	Chà đạp, xúc phạm (lòng tốt, tình cảm,...)	人の善意を踏みにじる行為に至っては、断固として許すわけにはいかない。\nRiêng với hành vi chà đạp lên lòng tốt của người khác thì nhất quyết không thể tha thứ.	2	Hajimete N1
18	ないがしろにする	ないがしろにする	Coi thường, xem nhẹ, phớt lờ	ネコさんは仕事をないがしろにするきらいがあり、周囲を困らせている。\nAnh Neko có xu hướng lơ là công việc, làm phiền lòng những người xung quanh.	2	Hajimete N1
19	気に障る	きにさわる	Gây khó chịu, làm phật lòng, xúc phạm	キツネさんの言葉がイヌさんの気に障り、二人は絶交を余儀なくされた。\nLời nói của anh Kitsune làm phật lòng anh Inu, khiến cả hai buộc phải cắt đứt quan hệ.	2	Hajimete N1
20	気分を害する	きぶんをがいする	Làm cho tâm trạng tồi tệ, làm mất hứng, xúc phạm	ネコさんの無神経な発言に至っては、その場の全員の気分を害するほどだった。\nRiêng về phát ngôn vô ý tứ của anh Neko thì nó tệ đến mức làm hỏng tâm trạng của tất cả mọi người ở đó.	2	Hajimete N1
21	きまりが悪い	きまりがわるい	Ngại, xấu hổ, ngượng ngùng	イヌさんは嘘がバレてしまい、1秒たりともその場に居られないほどきまりが悪かった。\nAnh Inu bị lộ chuyện nói dối, xấu hổ đến mức không thể nán lại đó dù chỉ một giây.	2	Hajimete N1
22	たかが	たかが	Chỉ là, vẻn vẹn (mang ý xem nhẹ, đánh giá thấp)	たかが一度の失敗といえども、キツネさんは深く落ち込んでしまった。\nDù chỉ là một lần thất bại, nhưng anh Kitsune đã rơi vào thất vọng tràn trề.	2	Hajimete N1
23	かばう	かばう	Bao che, che chở, bảo vệ	仲間をかばうをもって、イヌさんはリーダーとしての信頼を得たのだ。\nBằng việc che chở cho đồng đội, anh Inu đã có được sự tin nhiệm với tư cách là một người lãnh đạo.	2	Hajimete N1
24	あえて	あえて	Dám, mạnh dạn (làm điều gì đó dù biết là khó khăn, không cần thiết)	ネコさんはあえて厳しい道を選ぶをもって、自己研鑽に励んでいる。\nAnh Neko chọn con đường chông gai để rèn luyện bản thân.	2	Hajimete N1
25	頻繁（な）	ひんぱん（な）	Thường xuyên, hay xảy ra	キツネさんは遅刻が頻繁なきらいがあり、上司に叱られている。\nAnh Kitsune có thói quen xấu là thường xuyên đi trễ nên bị cấp trên mắng.	2	Hajimete N1
26	タイミング	タイミング	Thời điểm, đúng lúc, đúng thời cơ	連絡のタイミングが合わなかった次第で、イヌさんに会えませんでした。\nVì lý do thời điểm liên lạc không khớp nên tôi đã không thể gặp được anh Inu.	2	Hajimete N1
27	じゃんけんする	じゃんけんする	Chơi oẳn tù tì	掃除当番を決める際、ネコさんはじゃんけんすることを提案した次第です。\nĐể quyết định người trực nhật, anh Neko đã đưa ra đề nghị chơi oẳn tù tì.	2	Hajimete N1
28	（お）あいこ	（お）あいこ	Hòa (trong oẳn tù tì hoặc các trò chơi khác)	キツネさんと何度じゃんけんしてもあいこになり、勝負がつかないんだ。\nVì cứ oẳn tù tì với anh Kitsune mãi mà vẫn hòa nên vẫn chưa phân định được thắng thua.	2	Hajimete N1
29	引き分け	ひきわけ	Hòa (thường dùng trong thi đấu thể thao)	プロの試合といえども、実力が伯仲していれば引き分けを余儀なくされることもある。\nDù là thi đấu chuyên nghiệp, nếu thực lực ngang ngửa thì đôi khi cũng buộc phải nhận kết quả hòa.	2	Hajimete N1
30	繋がる	つながる	Kết nối (ví dụ, giữa người với người)	ネコさんとイヌさんの友情は、共通の趣味をもって繋がっている。\nTình bạn của anh Neko và anh Inu được gắn kết thông qua sở thích chung.	2	Hajimete N1
31	繋がる	つながる	Nối máy (điện thoại)	悪天候に至っては、電話も1分たりとも繋がらない状況だった。\nRiêng khi thời tiết xấu thì ngay cả điện thoại cũng không thể kết nối được dù chỉ một phút.	2	Hajimete N1
32	やたら（な・と）	やたら（な・と）	Cực kỳ, quá mức, vô cùng (thường mang nghĩa không tốt)	キツネさんはやたらと嘘をつくきらいがあり、誰も信用しなくなった。\nAnh Kitsune có tật xấu là cứ hay nói dối vô tội vạ, khiến chẳng còn ai tin tưởng nữa.	2	Hajimete N1
33	さぞ	さぞ	Chắc hẳn là, ắt là (suy đoán với sự đồng cảm)	大切な友人を亡くしたイヌさんの悲しみは、さぞ深いことと察してやみません。\nTôi luôn thấu hiểu sâu sắc rằng nỗi đau của anh Inu khi mất đi người bạn thân chắc hẳn là rất lớn.	2	Hajimete N1
34	そもそも	そもそも	Vốn dĩ, ngay từ đầu, xét cho cùng	そもそも、1円たりとも無駄にしないというネコさんの姿勢には敬服する。\nNgay từ đầu, tôi đã rất khâm phục thái độ không lãng phí dù chỉ một yên của anh Neko.	2	Hajimete N1
35	よもや	よもや	Chắc chắn không, không đời nào (đi với thể phủ định)	キツネさんが嘘をついていたとは、よもや思わなかった次第です。\nTôi thật sự không bao giờ ngờ được rằng anh Kitsune lại nói dối.	2	Hajimete N1
